Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
179710, 471, 0, 4.808195, 4.628655, 4.617366, 4.617366, 96.27, 99.76, 100.00
179725, 207, 0, 2.392152, 2.313932, 2.306386, 2.306386, 96.73, 99.67, 100.00
179739, 283, 0, 3.085175, 2.999689, 2.993442, 2.993442, 97.23, 99.79, 100.00
179771, 85, 0, 1.516763, 1.466672, 1.456228, 1.456228, 96.70, 99.29, 100.00
179804, 480, 0, 8.125113, 7.881702, 7.858821, 7.858811, 97.00, 99.71, 100.00
179938, 76, 0, 1.151349, 1.054872, 1.052167, 1.052167, 91.62, 99.74, 100.00
179939, 237, 0, 3.968116, 3.863770, 3.853684, 3.853684, 97.37, 99.74, 100.00
179940, 11, 0, 0.152832, 0.148209, 0.144614, 0.144614, 96.98, 97.57, 100.00
180122, 443, 0, 5.986339, 5.839282, 5.825340, 5.825340, 97.54, 99.76, 100.00
180124, 481, 0, 8.510599, 8.231223, 8.205445, 8.205445, 96.72, 99.69, 100.00
180139, 401, 0, 8.868512, 8.617599, 8.574056, 8.574056, 97.17, 99.49, 100.00
180144, 262, 0, 4.027270, 3.925250, 3.918450, 3.918450, 97.47, 99.83, 100.00
180149, 161, 0, 3.887566, 3.740155, 3.730307, 3.730307, 96.21, 99.74, 100.00
180153, 494, 0, 9.340614, 9.081058, 9.060952, 9.060952, 97.22, 99.78, 100.00
180164, 1037, 0, 21.459907, 20.797801, 20.721721, 20.721721, 96.91, 99.63, 100.00
180212, 6, 0, 0.126344, 0.122191, 0.122191, 0.122191, 96.71, 100.00, 100.00
180225, 953, 0, 18.217359, 17.765823, 17.729843, 17.729843, 97.52, 99.80, 100.00
180241, 250, 0, 5.130283, 4.990015, 4.976656, 4.976656, 97.27, 99.73, 100.00
180242, 243, 0, 5.648345, 5.491569, 5.474893, 5.474893, 97.22, 99.70, 100.00
180309, 426, 0, 10.337224, 10.045754, 10.022009, 10.022009, 97.18, 99.76, 100.00
180400, 521, 0, 16.417494, 15.851524, 15.792610, 15.792610, 96.55, 99.63, 100.00
180448, 39, 0, 1.242127, 1.199539, 1.197445, 1.197445, 96.57, 99.83, 100.00
180481, 786, 0, 23.316033, 22.652296, 22.589868, 22.589868, 97.15, 99.72, 100.00
180614, 104, 0, 3.683334, 3.493698, 3.481678, 3.481678, 94.85, 99.66, 100.00
180636, 928, 0, 26.996393, 26.159914, 26.071935, 26.071935, 96.90, 99.66, 100.00
