25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            27.90454                                          0.18037                                           0.14871                                           -0.04808                                          0.09141                                           0.00269                                           0.32553                                           -0.00443                                          0.01092                                           0.16436                                           0.22314                                           -0.09678                                          -0.11138                                          0.11483                                           -0.02742                                          0.01607                                           0.39951                                           0.00756                                           0.04192                                           0.09718                                           0.09893                                           0.02945                                           0.65818                                           
0.21 0.42                                         27.82651                                          0.15480                                           0.10417                                           -0.01457                                          0.06654                                           0.00267                                           0.26092                                           0.01829                                           0.01957                                           0.17362                                           0.20379                                           -0.10617                                          -0.11678                                          0.09716                                           0.08147                                           0.34311                                           0.18049                                           0.00772                                           0.03675                                           0.09457                                           0.09652                                           0.03269                                           0.60663                                           
0.42 0.63                                         27.21985                                          0.15457                                           0.10148                                           -0.02878                                          0.07509                                           0.00261                                           0.24207                                           0.01808                                           0.00463                                           0.14397                                           0.16320                                           -0.09889                                          -0.09166                                          0.11142                                           0.05989                                           0.58090                                           0.00776                                           0.00724                                           0.03489                                           0.08574                                           0.11019                                           0.02445                                           0.71842                                           
0.63 0.84                                         26.87412                                          0.16595                                           0.12496                                           -0.01522                                          0.08405                                           0.00257                                           0.30769                                           -0.00705                                          0.01318                                           0.15995                                           0.16516                                           -0.06322                                          -0.10326                                          0.12307                                           0.12155                                           0.74192                                           -0.11521                                          0.01527                                           0.04712                                           0.08194                                           0.09748                                           0.02906                                           0.89358                                           
0.84 1.05                                         26.50137                                          0.16934                                           0.13080                                           0.03604                                           0.08559                                           0.00252                                           0.30405                                           -0.01253                                          -0.01832                                          0.17348                                           0.16608                                           -0.08596                                          -0.08664                                          0.13382                                           0.13203                                           0.82496                                           -0.19159                                          0.01001                                           0.04300                                           0.07501                                           0.08891                                           0.02999                                           0.97992                                           
1.05 1.37                                         25.80745                                          0.11794                                           0.07726                                           0.01679                                           0.10263                                           0.00246                                           0.14460                                           -0.05187                                          -0.03885                                          0.15715                                           0.11438                                           -0.09953                                          -0.07781                                          0.11469                                           0.03145                                           0.81699                                           -0.22240                                          0.00485                                           0.03284                                           0.07194                                           0.07267                                           0.02146                                           0.91582                                           
1.37 1.52                                         24.70865                                          0.15417                                           0.08315                                           0.00465                                           0.06451                                           0.00236                                           0.15551                                           0.06797                                           0.04768                                           0.18436                                           0.12872                                           -0.09042                                          -0.07649                                          0.12646                                           0.06268                                           0.70344                                           -0.18971                                          0.00899                                           0.01855                                           0.06934                                           0.08802                                           0.02183                                           0.81912                                           
1.52 1.74                                         24.22760                                          0.12653                                           0.06726                                           -0.00872                                          0.05517                                           0.00234                                           0.12419                                           0.03410                                           0.05857                                           0.17739                                           0.12684                                           -0.11595                                          -0.08563                                          0.09370                                           0.04037                                           0.57037                                           -0.13331                                          0.00828                                           0.03102                                           0.07999                                           0.08747                                           0.01826                                           0.68185                                           
1.74 1.95                                         23.46141                                          0.13544                                           0.06709                                           -0.01114                                          0.07768                                           0.00230                                           0.13076                                           -0.01150                                          -0.01864                                          0.15141                                           0.09459                                           -0.08426                                          -0.04852                                          0.11426                                           0.04416                                           0.35522                                           -0.03251                                          0.00634                                           0.02306                                           0.09728                                           0.10404                                           0.02233                                           0.48288                                           
1.95 2.18                                         21.43069                                          0.12390                                           0.06341                                           -0.01349                                          0.07449                                           0.00218                                           0.13095                                           0.04215                                           0.10529                                           0.15600                                           0.11825                                           -0.08619                                          -0.03103                                          0.10011                                           0.14277                                           0.07642                                           0.09847                                           0.00673                                           0.03289                                           0.12833                                           0.08039                                           0.02008                                           0.39609                                           
2.18 2.4                                          19.35104                                          0.12024                                           0.06386                                           0.00423                                           0.12068                                           0.00206                                           0.13694                                           0.03357                                           0.04843                                           0.14779                                           0.11568                                           -0.10068                                          -0.05344                                          0.09226                                           0.06247                                           -0.22036                                          0.24306                                           0.00978                                           -0.05474                                          0.16708                                           0.09498                                           0.02343                                           0.49973                                           
