25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            56.24590                                          0.26672                                           0.14667                                           -0.15352                                          0.15114                                           0.03383                                           1.04586                                           0.03459                                           0.07508                                           -0.06361                                          0.04783                                           0.12175                                           2.92512                                           0.56988                                           0.10822                                           1.49043                                           1.06388                                           0.06144                                           0.21794                                           0.45069                                           0.85027                                           0.24811                                           3.80471                                           
0.21 0.42                                         55.67093                                          0.23091                                           0.09144                                           -0.08151                                          0.12724                                           0.03340                                           0.79221                                           -0.01081                                          0.03326                                           -0.02811                                          0.08201                                           0.08824                                           2.87651                                           0.43577                                           -0.34437                                          0.88633                                           1.38790                                           0.07157                                           0.19821                                           0.46858                                           1.07822                                           0.21032                                           3.66632                                           
0.42 0.63                                         56.84646                                          0.22799                                           0.08573                                           -0.16139                                          0.15996                                           0.03411                                           0.77070                                           0.01822                                           -0.00350                                          -0.06944                                          0.09626                                           0.18010                                           2.92999                                           0.29060                                           -0.06160                                          0.41535                                           1.72554                                           0.05326                                           0.19736                                           0.46481                                           0.79122                                           0.21382                                           3.66792                                           
0.63 0.84                                         59.15088                                          0.24653                                           0.13780                                           -0.12575                                          0.16213                                           0.03532                                           1.11504                                           0.02632                                           -0.01614                                          -0.10523                                          0.09278                                           0.08279                                           3.13436                                           0.35888                                           0.21515                                           0.03878                                           2.08132                                           0.05711                                           0.21643                                           0.46724                                           0.60883                                           0.21587                                           4.04371                                           
0.84 1.05                                         58.58695                                          0.24433                                           0.12523                                           0.04553                                           0.20315                                           0.03532                                           1.08288                                           0.03805                                           0.02998                                           -0.16147                                          0.10530                                           0.25974                                           3.42352                                           0.43901                                           0.31702                                           -0.23623                                          2.30994                                           0.03776                                           0.35580                                           0.49479                                           0.68961                                           0.22998                                           4.43244                                           
1.05 1.37                                         59.05979                                          0.18204                                           0.06633                                           0.08073                                           0.23161                                           0.03546                                           0.54973                                           0.02304                                           0.07161                                           -0.12798                                          0.08350                                           0.13626                                           3.23155                                           0.41287                                           0.11562                                           -0.42202                                          2.59478                                           0.04625                                           0.25513                                           0.48594                                           0.91798                                           0.16081                                           4.37324                                           
1.37 1.52                                         58.41196                                          0.24305                                           0.04535                                           -0.09562                                          0.30541                                           0.03536                                           0.64125                                           0.08090                                           0.06022                                           -0.06674                                          0.06232                                           0.23685                                           3.41492                                           0.46663                                           0.21922                                           -0.42588                                          2.75375                                           0.03527                                           0.35505                                           0.50175                                           1.03971                                           0.22795                                           4.66857                                           
1.52 1.74                                         59.45061                                          0.19960                                           0.02051                                           -0.01973                                          0.20684                                           0.03569                                           0.53391                                           -0.06247                                          -0.06040                                          -0.18808                                          0.09661                                           0.24329                                           3.55912                                           0.49036                                           0.03967                                           -0.33744                                          2.92192                                           0.03822                                           0.44406                                           0.48045                                           0.73474                                           0.18324                                           4.79636                                           
1.74 1.95                                         57.01299                                          0.19948                                           0.04328                                           -0.01174                                          0.19161                                           0.03425                                           0.52667                                           -0.01295                                          -0.04523                                          -0.11642                                          0.05454                                           0.27381                                           3.38155                                           0.30166                                           0.13957                                           -0.10745                                          2.90207                                           0.04002                                           0.46909                                           0.46443                                           1.33036                                           0.17741                                           4.75695                                           
1.95 2.18                                         55.36563                                          0.18547                                           0.02429                                           -0.03122                                          0.22264                                           0.03282                                           0.56786                                           0.05916                                           0.07262                                           -0.14479                                          0.05698                                           0.28837                                           3.30328                                           0.47538                                           0.10452                                           0.22839                                           2.88201                                           0.04360                                           0.49839                                           0.41098                                           0.48287                                           0.15962                                           4.54702                                           
2.18 2.4                                          48.58911                                          0.17993                                           0.02519                                           -0.00735                                          0.19327                                           0.02928                                           0.53665                                           -0.01876                                          0.15479                                           -0.14095                                          0.06348                                           0.23509                                           3.10483                                           0.33834                                           0.19668                                           0.60737                                           2.55390                                           0.04540                                           0.45334                                           0.39484                                           0.74640                                           0.15993                                           4.24981                                           
