25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            465.96433                                         0.74973                                           0.59965                                           -1.02816                                          1.50857                                           0.11998                                           2.15995                                           -0.02501                                          -0.02161                                          0.52210                                           0.64793                                           -0.81846                                          1.32515                                           0.47309                                           0.88381                                           2.38326                                           0.91998                                           0.19948                                           0.75946                                           1.72490                                           4.03170                                           0.90587                                           6.30000                                           
0.21 0.42                                         461.81287                                         0.66289                                           0.43568                                           -0.37058                                          1.09527                                           0.11844                                           1.70773                                           -0.02236                                          0.05534                                           0.51623                                           0.66903                                           -0.71301                                          1.14608                                           0.26267                                           0.65990                                           3.07854                                           0.85314                                           0.17631                                           0.72057                                           1.70428                                           3.33133                                           0.75593                                           5.72979                                           
0.42 0.63                                         457.23890                                         0.63839                                           0.38364                                           -0.77194                                          1.26077                                           0.11764                                           1.63243                                           0.00436                                           0.00925                                           0.53036                                           0.54795                                           -0.72747                                          1.16101                                           0.18411                                           0.75569                                           3.58333                                           0.76571                                           0.15742                                           0.69988                                           1.76825                                           2.35732                                           0.73715                                           5.58957                                           
0.63 0.84                                         451.98515                                         0.68398                                           0.50161                                           -0.29260                                          1.41195                                           0.11671                                           2.15929                                           -0.00969                                          0.02237                                           0.56858                                           0.55713                                           -0.85918                                          1.39067                                           0.33739                                           0.91359                                           3.89914                                           0.65813                                           0.15648                                           0.71604                                           1.81857                                           4.71432                                           0.80308                                           7.32205                                           
0.84 1.05                                         438.89277                                         0.69656                                           0.51363                                           0.42599                                           1.43113                                           0.11431                                           2.19087                                           0.04534                                           0.02176                                           0.58944                                           0.55597                                           -0.74966                                          1.65924                                           0.17241                                           0.89817                                           3.96568                                           0.52306                                           0.19679                                           0.60471                                           1.85738                                           2.99445                                           0.84814                                           6.45426                                           
1.05 1.37                                         430.51307                                         0.50010                                           0.34213                                           0.40267                                           1.70692                                           0.11277                                           1.17675                                           0.02247                                           0.01886                                           0.64533                                           0.41263                                           -1.04904                                          1.74611                                           0.18871                                           0.98192                                           3.87813                                           0.34135                                           0.13055                                           0.65572                                           1.95149                                           2.67357                                           0.60338                                           6.10334                                           
1.37 1.52                                         411.39797                                         0.67134                                           0.33885                                           -0.07357                                          1.07406                                           0.10722                                           1.24420                                           0.06299                                           -0.05682                                          0.64100                                           0.45743                                           -0.96158                                          1.84971                                           0.09460                                           0.85571                                           3.48718                                           0.15558                                           0.12871                                           0.61594                                           2.01110                                           2.20461                                           0.81346                                           5.54031                                           
1.52 1.74                                         401.50907                                         0.55252                                           0.29020                                           -0.15347                                          0.89574                                           0.10437                                           1.04586                                           -0.06560                                          -0.00385                                          0.62474                                           0.39617                                           -0.98003                                          2.11369                                           0.18760                                           0.86742                                           3.10056                                           0.00456                                           0.13783                                           0.60103                                           2.08561                                           2.79040                                           0.69899                                           5.60362                                           
1.74 1.95                                         388.78175                                         0.55062                                           0.29206                                           -0.23750                                          1.25604                                           0.10029                                           1.05653                                           0.01875                                           0.02884                                           0.60148                                           0.36016                                           -1.04375                                          2.15296                                           0.08051                                           1.05308                                           2.51716                                           -0.17868                                          0.16240                                           0.60111                                           2.10084                                           2.81714                                           0.66404                                           5.45205                                           
1.95 2.18                                         365.76450                                         0.49594                                           0.29755                                           -0.32990                                          1.19615                                           0.09414                                           1.16451                                           -0.02592                                          0.02932                                           0.54499                                           0.35423                                           -0.97807                                          2.16298                                           0.14059                                           0.83802                                           1.74998                                           -0.36253                                          0.15400                                           0.48589                                           2.12903                                           2.04527                                           0.63179                                           4.72684                                           
2.18 2.4                                          342.48424                                         0.50566                                           0.24256                                           0.10388                                           1.92861                                           0.08770                                           1.11867                                           -0.01744                                          -0.10355                                          0.48860                                           0.33245                                           -0.99072                                          2.15869                                           0.09592                                           0.64045                                           0.89856                                           -0.54345                                          0.16177                                           0.41209                                           2.11211                                           1.07212                                           0.66987                                           4.33904                                           
