25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            572.23686                                         0.80707                                           0.69908                                           -1.30110                                          1.42131                                           0.13748                                           2.68183                                           -0.02447                                          -0.02400                                          0.66200                                           -0.75912                                          -0.83499                                          -0.50028                                          0.69818                                           0.59934                                           1.21331                                           0.94295                                           0.13687                                           1.17875                                           1.44379                                           1.23795                                           0.67259                                           4.69697                                           
0.21 0.42                                         575.34188                                         0.72023                                           0.52077                                           -0.99580                                          1.22387                                           0.13847                                           2.19940                                           0.00533                                           -0.00876                                          0.65853                                           -0.80564                                          -0.96778                                          -0.81145                                          0.50144                                           0.81219                                           1.37008                                           0.59022                                           0.12551                                           1.11030                                           1.46245                                           2.20144                                           0.60073                                           4.69320                                           
0.42 0.63                                         574.92759                                         0.69579                                           0.46085                                           -1.11520                                          1.49815                                           0.13936                                           2.16123                                           -0.04792                                          0.03961                                           0.72965                                           -0.71752                                          -0.99287                                          -0.64922                                          0.57388                                           0.64128                                           1.55003                                           0.25550                                           0.10762                                           1.17096                                           1.51571                                           0.79238                                           0.59468                                           4.32658                                           
0.63 0.84                                         579.80253                                         0.75705                                           0.60405                                           -0.44700                                          1.42756                                           0.14088                                           2.87988                                           0.02193                                           0.03351                                           0.74218                                           -0.66216                                          -1.07712                                          -0.35813                                          0.52127                                           0.60827                                           1.77675                                           -0.05598                                          0.12212                                           1.16393                                           1.61935                                           1.15976                                           0.66770                                           4.77284                                           
0.84 1.05                                         578.81777                                         0.78153                                           0.62389                                           0.25253                                           1.85785                                           0.14151                                           3.09155                                           0.03676                                           0.01551                                           0.80929                                           -0.69818                                          -1.02376                                          -0.41296                                          0.53174                                           0.71191                                           2.01801                                           -0.34554                                          0.18225                                           1.22466                                           1.67999                                           1.53793                                           0.58652                                           5.28118                                           
1.05 1.37                                         593.01647                                         0.57039                                           0.42994                                           0.54715                                           2.19318                                           0.14511                                           1.71863                                           0.04104                                           -0.03455                                          0.95916                                           -0.61665                                          -1.25944                                          -0.37530                                          0.59185                                           0.60923                                           2.42876                                           -0.69422                                          0.12499                                           1.25259                                           1.82831                                           1.30163                                           0.47731                                           5.02502                                           
1.37 1.52                                         590.49651                                         0.78078                                           0.43715                                           -0.20043                                          2.86559                                           0.14533                                           1.90653                                           -0.05664                                          -0.03528                                          0.93845                                           -0.55550                                          -1.22460                                          0.18753                                           0.42702                                           0.77213                                           2.77964                                           -0.95981                                          0.13100                                           1.24185                                           1.97105                                           1.22505                                           0.65434                                           5.62377                                           
1.52 1.74                                         598.81156                                         0.65728                                           0.38427                                           -0.22213                                          2.04305                                           0.14638                                           1.69433                                           -0.02079                                          -0.06525                                          0.99617                                           -0.60404                                          -1.25150                                          -0.38810                                          0.53674                                           0.66899                                           3.13544                                           -1.16633                                          0.13001                                           1.28243                                           2.06516                                           1.49849                                           0.53879                                           5.54357                                           
1.74 1.95                                         595.72004                                         0.66677                                           0.39113                                           -0.05022                                          1.96373                                           0.14487                                           1.77311                                           0.01832                                           0.05438                                           0.89467                                           -0.51198                                          -1.20795                                          -0.42383                                          0.52239                                           0.67817                                           3.51654                                           -1.35993                                          0.13288                                           1.25538                                           2.14977                                           2.77163                                           0.52260                                           6.24498                                           
1.95 2.18                                         590.11009                                         0.61556                                           0.41545                                           -0.42141                                          2.37722                                           0.14833                                           2.03439                                           -0.05695                                          -0.17947                                          0.82210                                           -0.46553                                          -1.32382                                          -0.49326                                          0.59114                                           0.79796                                           3.92048                                           -1.52352                                          0.10524                                           1.14378                                           2.23354                                           2.73500                                           0.53801                                           6.77060                                           
2.18 2.4                                          564.10217                                         0.63299                                           0.34535                                           -0.05052                                          2.26202                                           0.13515                                           1.97935                                           -0.02991                                          -0.12702                                          0.80120                                           -0.49107                                          -1.11467                                          -0.73419                                          0.43657                                           0.62093                                           4.20935                                           -1.60288                                          0.10415                                           1.14774                                           2.22321                                           2.27994                                           0.50739                                           6.66683                                           
