25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            102.42334                                         0.34395                                           0.27827                                           -0.23964                                          0.25883                                           0.05024                                           1.18237                                           -0.05181                                          -0.06335                                          -0.09132                                          0.13830                                           0.03506                                           1.08615                                           0.18278                                           -0.30164                                          -0.49780                                          1.34225                                           0.01381                                           0.80826                                           0.41687                                           0.12977                                           0.43298                                           2.45416                                           
0.21 0.42                                         102.65885                                         0.30386                                           0.20146                                           -0.19574                                          0.22053                                           0.05059                                           1.02673                                           0.01970                                           -0.01348                                          -0.08819                                          0.13437                                           0.13866                                           1.14753                                           0.22915                                           -0.06586                                          -0.65365                                          1.35050                                           0.03113                                           0.79891                                           0.42219                                           0.44418                                           0.35780                                           2.44897                                           
0.42 0.63                                         100.83386                                         0.30950                                           0.18876                                           -0.18977                                          0.26840                                           0.05024                                           1.02879                                           -0.02183                                          -0.01742                                          -0.06872                                          0.11225                                           -0.09238                                          1.13752                                           0.24609                                           -0.17326                                          -0.69833                                          1.29891                                           0.02031                                           0.81655                                           0.47220                                           0.26482                                           0.36281                                           2.42539                                           
0.63 0.84                                         104.15031                                         0.33387                                           0.24745                                           -0.03621                                          0.26672                                           0.05815                                           1.48972                                           0.03274                                           0.02310                                           -0.13697                                          0.14379                                           -0.06250                                          1.26746                                           0.23072                                           0.05441                                           -0.68064                                          1.27943                                           0.02138                                           0.83462                                           0.52295                                           0.48378                                           0.36399                                           2.73883                                           
0.84 1.05                                         103.88205                                         0.34005                                           0.26266                                           0.10404                                           0.34459                                           0.05234                                           1.53691                                           0.02007                                           -0.02745                                          -0.09378                                          0.09961                                           0.01599                                           1.32410                                           0.28023                                           -0.08695                                          -0.53978                                          1.18046                                           0.03139                                           0.89447                                           0.55472                                           0.68436                                           0.39470                                           2.80011                                           
1.05 1.37                                         106.82543                                         0.25361                                           0.17227                                           0.10671                                           0.41254                                           0.06435                                           0.95945                                           0.08333                                           -0.04548                                          -0.13721                                          0.11083                                           -0.09453                                          1.31497                                           0.28345                                           -0.04195                                          -0.22994                                          1.04039                                           0.02246                                           0.85017                                           0.58305                                           0.53746                                           0.26486                                           2.35665                                           
1.37 1.52                                         107.16961                                         0.33234                                           0.17333                                           -0.04799                                          0.53180                                           0.05426                                           0.99764                                           -0.06127                                          0.01529                                           -0.11781                                          0.08511                                           0.08282                                           1.41912                                           0.26242                                           -0.16208                                          0.19402                                           0.84314                                           0.04052                                           0.99710                                           0.58875                                           0.41545                                           0.37578                                           2.42058                                           
1.52 1.74                                         109.05619                                         0.27577                                           0.13977                                           -0.03540                                          0.38666                                           0.05521                                           0.82345                                           0.03414                                           0.07828                                           -0.12122                                          0.06929                                           0.02192                                           1.56186                                           0.35948                                           -0.07144                                          0.62881                                           0.66618                                           0.04216                                           1.06430                                           0.58898                                           0.50016                                           0.32480                                           2.47562                                           
1.74 1.95                                         110.84320                                         0.29809                                           0.15035                                           -0.01757                                          0.35601                                           0.05562                                           0.89239                                           -0.03129                                          0.06827                                           -0.08019                                          0.06781                                           0.10169                                           1.57820                                           0.27403                                           0.11104                                           1.25117                                           0.41555                                           0.04203                                           1.06751                                           0.54160                                           1.66407                                           0.32739                                           3.09893                                           
1.95 2.18                                         106.46644                                         0.27242                                           0.16486                                           -0.09713                                          0.41964                                           0.05341                                           0.96211                                           -0.06128                                          -0.17229                                          -0.17726                                          0.13059                                           0.12199                                           1.43940                                           0.26529                                           -0.03431                                          1.91292                                           0.10467                                           0.03244                                           1.02743                                           0.52702                                           1.12893                                           0.30737                                           3.12331                                           
2.18 2.4                                          96.99636                                          0.27088                                           0.15595                                           -0.03897                                          0.37722                                           0.04865                                           0.91440                                           -0.08153                                          -0.16524                                          -0.19455                                          -0.10759                                          0.13975                                           1.24495                                           0.23655                                           0.08137                                           2.50985                                           -0.21466                                          0.03053                                           0.98384                                           0.47763                                           1.35218                                           0.30088                                           3.49047                                           
