26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            432.66845                                         0.70842                                           0.58873                                           -0.99395                                          1.38315                                           0.10046                                           2.03113                                           -0.03060                                          -0.02559                                          0.49215                                           0.61537                                           -0.73608                                          -0.83948                                          0.65413                                           0.61275                                           0.99159                                           -0.18882                                          0.16454                                           0.85902                                           0.23702                                           1.29182                                           1.20037                                           0.59829                                           3.91960                                           
0.21 0.42                                         430.88545                                         0.62817                                           0.43403                                           -0.33981                                          1.00934                                           0.09929                                           1.61581                                           -0.02815                                          0.02925                                           0.52132                                           0.60582                                           -0.68411                                          -0.63706                                          0.51375                                           0.56688                                           1.77566                                           -0.34316                                          0.12795                                           0.82501                                           0.30436                                           1.25427                                           1.46910                                           0.50563                                           3.75371                                           
0.42 0.63                                         425.49539                                         0.60386                                           0.38115                                           -0.66176                                          1.15708                                           0.09841                                           1.56830                                           -0.01848                                          0.03394                                           0.48804                                           0.47796                                           -0.65383                                          -0.72759                                          0.50197                                           0.64835                                           2.38453                                           -0.50604                                          0.14268                                           0.81374                                           0.10902                                           1.29883                                           0.90443                                           0.51738                                           3.98720                                           
0.63 0.84                                         419.67736                                         0.64764                                           0.49305                                           -0.18153                                          1.29683                                           0.09783                                           2.05691                                           0.01074                                           -0.01675                                          0.51381                                           0.48388                                           -0.74480                                          -0.48639                                          0.62065                                           0.68534                                           2.82920                                           -0.67780                                          0.15335                                           0.77291                                           0.00605                                           1.36286                                           1.14593                                           0.56423                                           4.57347                                           
0.84 1.05                                         408.49283                                         0.66286                                           0.50714                                           0.44585                                           1.31599                                           0.09589                                           2.13185                                           0.03230                                           0.01691                                           0.50546                                           0.45971                                           -0.68907                                          -0.40855                                          0.51878                                           0.70025                                           3.07704                                           -0.84710                                          0.18656                                           0.58671                                           0.00230                                           1.41401                                           0.69861                                           0.55825                                           4.68775                                           
1.05 1.37                                         400.89709                                         0.47493                                           0.33994                                           0.34728                                           1.57677                                           0.09497                                           1.11863                                           -0.08172                                          -0.04784                                          0.60702                                           0.36507                                           -0.89268                                          -0.23606                                          0.47593                                           0.64692                                           3.22220                                           -1.08220                                          0.12266                                           0.69779                                           0.09682                                           1.52094                                           0.79477                                           0.40330                                           4.60040                                           
1.37 1.52                                         383.52533                                         0.63768                                           0.34245                                           -0.04546                                          0.99308                                           0.09046                                           1.19437                                           0.07798                                           -0.04017                                          0.60366                                           0.39848                                           -0.90723                                          -0.23908                                          0.43709                                           0.72190                                           3.07751                                           -1.26492                                          0.10739                                           0.63025                                           0.30220                                           1.58849                                           0.70139                                           0.53799                                           4.42033                                           
1.52 1.74                                         375.24977                                         0.52710                                           0.29455                                           -0.12046                                          0.83230                                           0.08932                                           1.00885                                           -0.03462                                          -0.01594                                          0.55985                                           0.34069                                           -0.88539                                          0.06776                                           0.46915                                           0.74091                                           2.89283                                           -1.42536                                          0.08872                                           0.59236                                           -0.34802                                          1.67375                                           1.26548                                           0.48120                                           4.39576                                           
1.74 1.95                                         361.58865                                         0.52659                                           0.29519                                           -0.23705                                          1.20396                                           0.08529                                           1.01590                                           -0.04385                                          -0.04862                                          0.52836                                           0.34082                                           -0.97688                                          0.05121                                           0.38577                                           0.64113                                           2.53311                                           -1.59530                                          0.10007                                           0.50864                                           -0.31877                                          1.73203                                           0.80580                                           0.43476                                           4.20937                                           
1.95 2.18                                         339.94173                                         0.47460                                           0.29766                                           -0.28702                                          1.10829                                           0.08017                                           1.12027                                           -0.06147                                          -0.06789                                          0.53026                                           0.34619                                           -0.87439                                          0.14552                                           0.38670                                           0.69201                                           2.00911                                           -1.72532                                          0.08909                                           0.44543                                           -0.28997                                          1.80422                                           0.86028                                           0.39753                                           3.99266                                           
2.18 2.4                                          319.22141                                         0.48481                                           0.24588                                           0.08939                                           1.78808                                           0.07483                                           1.08075                                           -0.03389                                          -0.07853                                          0.49258                                           0.31159                                           -0.88506                                          0.13316                                           0.40178                                           0.53961                                           1.40368                                           -1.84867                                          0.09965                                           0.38355                                           -0.29337                                          1.80913                                           0.75940                                           0.42858                                           3.96287                                           
