26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            27.90500                                          0.18037                                           0.14871                                           -0.04808                                          0.09141                                           0.00269                                           0.32553                                           -0.00442                                          0.01092                                           0.16436                                           0.22313                                           -0.09675                                          -0.11133                                          0.11481                                           -0.02742                                          0.01609                                           0.39943                                           0.00756                                           0.04363                                           0.03251                                           0.09718                                           0.25001                                           0.08075                                           0.70191                                           
0.21 0.42                                         27.82692                                          0.15689                                           0.10918                                           -0.01457                                          0.06654                                           0.00267                                           0.26092                                           0.01830                                           0.01957                                           0.17360                                           0.20378                                           -0.10613                                          -0.11673                                          0.09714                                           0.08143                                           0.34303                                           0.18052                                           0.00772                                           0.03698                                           0.02075                                           0.09457                                           0.13533                                           0.06961                                           0.61822                                           
0.42 0.63                                         27.21985                                          0.15150                                           0.09902                                           -0.02878                                          0.07509                                           0.00261                                           0.24207                                           0.01808                                           0.00463                                           0.14397                                           0.16320                                           -0.09889                                          -0.09166                                          0.11140                                           0.05989                                           0.58072                                           0.00787                                           0.00724                                           0.03491                                           0.08866                                           0.08574                                           0.08963                                           0.06185                                           0.72278                                           
0.63 0.84                                         26.87412                                          0.16657                                           0.12624                                           -0.01522                                          0.08405                                           0.00257                                           0.30769                                           -0.00705                                          0.01318                                           0.15995                                           0.16516                                           -0.06322                                          -0.10326                                          0.12307                                           0.12155                                           0.74169                                           -0.11504                                          0.01527                                           0.04802                                           -0.02723                                          0.08194                                           0.05553                                           0.07416                                           0.89302                                           
0.84 1.05                                         26.50137                                          0.16930                                           0.13164                                           0.03604                                           0.08559                                           0.00252                                           0.30405                                           -0.01253                                          -0.01832                                          0.17348                                           0.16608                                           -0.08596                                          -0.08664                                          0.13382                                           0.13203                                           0.82471                                           -0.19140                                          0.01001                                           0.04315                                           -0.02851                                          0.07501                                           0.08662                                           0.07481                                           0.98239                                           
1.05 1.37                                         25.80745                                          0.11597                                           0.07719                                           0.01679                                           0.10263                                           0.00246                                           0.14460                                           -0.05187                                          -0.03885                                          0.15715                                           0.11438                                           -0.09953                                          -0.07781                                          0.11469                                           0.03145                                           0.81675                                           -0.22219                                          0.00485                                           0.03307                                           -0.01015                                          0.07194                                           0.05372                                           0.04693                                           0.91526                                           
1.37 1.52                                         24.70865                                          0.15386                                           0.08017                                           0.00465                                           0.06451                                           0.00236                                           0.15551                                           0.06797                                           0.04768                                           0.18436                                           0.12872                                           -0.09042                                          -0.07649                                          0.12646                                           0.06268                                           0.70326                                           -0.18953                                          0.00899                                           0.02492                                           -0.05976                                          0.06934                                           0.03598                                           0.06232                                           0.81912                                           
1.52 1.74                                         24.22760                                          0.12440                                           0.05980                                           -0.00872                                          0.05517                                           0.00234                                           0.12419                                           0.03410                                           0.05857                                           0.17739                                           0.12684                                           -0.11595                                          -0.08563                                          0.09370                                           0.04037                                           0.57026                                           -0.13317                                          0.00828                                           0.03408                                           -0.04977                                          0.07999                                           0.06434                                           0.04969                                           0.68198                                           
1.74 1.95                                         23.46141                                          0.13025                                           0.06486                                           -0.01114                                          0.07768                                           0.00230                                           0.13076                                           -0.01150                                          -0.01864                                          0.15141                                           0.09459                                           -0.08426                                          -0.04852                                          0.11426                                           0.04416                                           0.35520                                           -0.03244                                          0.00634                                           0.03027                                           0.01946                                           0.09728                                           0.17471                                           0.05238                                           0.50553                                           
1.95 2.18                                         21.43069                                          0.12394                                           0.06277                                           -0.01349                                          0.07449                                           0.00218                                           0.13095                                           0.04215                                           0.10529                                           0.15600                                           0.11825                                           -0.08619                                          -0.03103                                          0.10011                                           0.14277                                           0.07651                                           0.09846                                           0.00673                                           0.03351                                           -0.04922                                          0.12833                                           0.10308                                           0.04637                                           0.40643                                           
2.18 2.4                                          19.35104                                          0.12203                                           0.05959                                           0.00423                                           0.12068                                           0.00206                                           0.13694                                           0.03357                                           0.04843                                           0.14779                                           0.11568                                           -0.10068                                          -0.05344                                          0.09226                                           0.06247                                           -0.22015                                          0.24297                                           0.00978                                           0.05526                                           -0.01853                                          0.16708                                           0.13927                                           0.05011                                           0.51167                                           
