26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            33.44737                                          0.19490                                           0.16513                                           -0.09291                                          0.08508                                           0.00320                                           0.39672                                           0.00580                                           0.01254                                           0.18155                                           -0.27588                                          -0.12128                                          -0.14271                                          0.13766                                           0.18803                                           0.09813                                           0.17106                                           0.01579                                           0.03114                                           -0.00384                                          0.10162                                           0.25524                                           0.08379                                           0.72236                                           
0.21 0.42                                         33.45029                                          0.17154                                           0.11791                                           -0.07492                                          0.07314                                           0.00320                                           0.30588                                           0.02365                                           -0.00641                                          0.19450                                           -0.24231                                          -0.12088                                          -0.14101                                          0.14335                                           0.03735                                           -0.00512                                          0.12670                                           0.01897                                           0.03367                                           -0.01321                                          0.10151                                           0.09638                                           0.07429                                           0.56114                                           
0.42 0.63                                         33.20204                                          0.16598                                           0.11979                                           -0.05958                                          0.08865                                           0.00317                                           0.29755                                           -0.00672                                          0.01407                                           0.14149                                           -0.19336                                          -0.11890                                          -0.12501                                          0.12815                                           0.03888                                           -0.06389                                          0.08184                                           0.01009                                           0.05411                                           -0.01057                                          0.09735                                           0.10660                                           0.07880                                           0.51051                                           
0.63 0.84                                         33.28346                                          0.18062                                           0.13212                                           -0.04766                                          0.08311                                           0.00317                                           0.38998                                           -0.02764                                          -0.02572                                          0.15834                                           -0.16946                                          -0.13410                                          -0.13708                                          0.13807                                           0.06088                                           -0.07919                                          0.03814                                           0.01162                                           0.05121                                           0.01718                                           0.09120                                           0.30407                                           0.07717                                           0.64109                                           
0.84 1.05                                         32.75696                                          0.18380                                           0.15518                                           -0.01748                                          0.10514                                           0.00311                                           0.36964                                           0.02322                                           0.01966                                           0.20730                                           -0.19276                                          -0.15678                                          -0.15193                                          0.14471                                           0.11852                                           -0.04975                                          -0.00554                                          0.01663                                           0.04172                                           -0.04352                                          0.08301                                           0.30974                                           0.08009                                           0.67190                                           
1.05 1.37                                         33.49326                                          0.13405                                           0.09374                                           0.02184                                           0.12436                                           0.00344                                           0.17572                                           0.01087                                           -0.02327                                          0.20953                                           -0.16208                                          -0.13220                                          -0.09456                                          0.13144                                           0.07503                                           0.04841                                           -0.06107                                          0.01318                                           0.04701                                           -0.02204                                          0.07918                                           0.10619                                           0.05251                                           0.45279                                           
1.37 1.52                                         32.61457                                          0.17244                                           0.08847                                           -0.00417                                          0.15982                                           0.00311                                           0.19201                                           0.05812                                           -0.02396                                          0.18935                                           -0.12449                                          -0.13689                                          -0.11835                                          0.10003                                           0.05636                                           0.19004                                           -0.10714                                          0.00801                                           0.05360                                           0.00598                                           0.08456                                           0.08250                                           0.07151                                           0.49106                                           
1.52 1.74                                         32.89262                                          0.14562                                           0.07496                                           -0.01768                                          0.11778                                           0.00315                                           0.16976                                           0.04122                                           0.09507                                           0.22857                                           -0.16853                                          -0.12562                                          -0.09747                                          0.12745                                           0.10355                                           0.34324                                           -0.14579                                          0.01125                                           0.06089                                           -0.01686                                          0.09411                                           0.09187                                           0.05481                                           0.59645                                           
1.74 1.95                                         31.98733                                          0.14545                                           0.07394                                           -0.00769                                          0.11130                                           0.00314                                           0.17780                                           0.03871                                           0.03739                                           0.23789                                           -0.16607                                          -0.12043                                          -0.10682                                          0.12636                                           0.09048                                           0.54615                                           -0.18431                                          0.01189                                           0.05764                                           -0.01349                                          0.11880                                           0.12599                                           0.05805                                           0.74561                                           
1.95 2.18                                         31.83467                                          0.14758                                           0.07456                                           -0.01495                                          0.13630                                           0.00356                                           0.19947                                           -0.03321                                          0.12012                                           0.22441                                           -0.17038                                          -0.12656                                          -0.09885                                          0.11727                                           0.08616                                           0.80526                                           -0.22662                                          0.01024                                           0.06738                                           -0.03004                                          0.15265                                           0.06360                                           0.05419                                           0.97040                                           
2.18 2.4                                          29.97737                                          0.14427                                           0.07709                                           -0.00264                                          0.13201                                           0.00319                                           0.21432                                           0.04831                                           0.13410                                           0.21176                                           -0.14259                                          -0.14099                                          -0.09910                                          0.12593                                           0.11581                                           1.05510                                           -0.25485                                          0.01149                                           0.10960                                           -0.01021                                          0.19616                                           0.17162                                           0.05895                                           1.21475                                           
