29
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BkgQCDFitRange                                    BkgQCDFitVar                                      BkgQCDFitPeriod                                   BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            465.96599                                         0.74973                                           0.59965                                           -1.02819                                          1.50854                                           0.11999                                           2.15996                                           -0.02489                                          -0.02159                                          0.52198                                           0.64796                                           -0.81864                                          1.32518                                           0.47323                                           0.88304                                           2.38546                                           0.91788                                           0.19948                                           0.75944                                           1.06971                                           1.72490                                           -0.63983                                          1.31637                                           2.65109                                           0.60990                                           0.90239                                           5.84136                                           
0.21 0.42                                         461.81594                                         0.66289                                           0.43568                                           -0.37062                                          1.09527                                           0.11846                                           1.70774                                           -0.02243                                          0.05538                                           0.51630                                           0.66906                                           -0.71304                                          1.14585                                           0.26256                                           0.65977                                           3.08298                                           0.84926                                           0.17631                                           0.72052                                           1.27123                                           1.70428                                           -0.52587                                          0.88645                                           2.16613                                           0.15559                                           0.75624                                           5.39889                                           
0.42 0.63                                         457.23960                                         0.63839                                           0.38364                                           -0.77195                                          1.26074                                           0.11773                                           1.63243                                           0.00428                                           0.00928                                           0.53037                                           0.54797                                           -0.72750                                          1.16096                                           0.18416                                           0.75572                                           3.58934                                           0.76057                                           0.15742                                           0.69989                                           1.17602                                           1.76825                                           -0.13539                                          1.43632                                           0.89121                                           0.11648                                           0.73461                                           5.47631                                           
0.63 0.84                                         451.98649                                         0.68398                                           0.50162                                           -0.29251                                          1.41185                                           0.11662                                           2.15929                                           -0.00964                                          0.02227                                           0.56852                                           0.55708                                           -0.85914                                          1.39052                                           0.33751                                           0.91363                                           3.90611                                           0.65228                                           0.15648                                           0.71618                                           0.61871                                           1.81857                                           -0.45150                                          1.46622                                           3.67426                                           0.52226                                           0.80286                                           6.92407                                           
0.84 1.05                                         438.89325                                         0.69656                                           0.51363                                           0.42601                                           1.43114                                           0.11430                                           2.19088                                           0.04530                                           0.02177                                           0.58945                                           0.55598                                           -0.74966                                          1.65927                                           0.17242                                           0.89812                                           3.97286                                           0.51710                                           0.19679                                           0.60471                                           0.83803                                           1.85738                                           -0.18884                                          0.76254                                           2.27806                                           0.38351                                           0.84780                                           6.27672                                           
1.05 1.37                                         430.51468                                         0.50010                                           0.34213                                           0.40271                                           1.70693                                           0.11280                                           1.17676                                           0.02247                                           0.01890                                           0.64524                                           0.41259                                           -1.04895                                          1.74592                                           0.18819                                           0.98182                                           3.88492                                           0.33583                                           0.13055                                           0.65600                                           0.90049                                           1.95149                                           -0.35955                                          1.12646                                           1.36411                                           0.07494                                           0.60323                                           5.85031                                           
1.37 1.52                                         411.40066                                         0.67134                                           0.33885                                           -0.07342                                          1.07392                                           0.10729                                           1.24421                                           0.06281                                           -0.05674                                          0.64084                                           0.45728                                           -0.96300                                          1.84992                                           0.09455                                           0.85575                                           3.49273                                           0.15118                                           0.12871                                           0.61626                                           1.06636                                           2.01110                                           0.14431                                           0.64361                                           1.35072                                           0.26562                                           0.81202                                           5.41666                                           
1.52 1.74                                         401.51151                                         0.55252                                           0.29020                                           -0.15346                                          0.89574                                           0.10437                                           1.04586                                           -0.06558                                          -0.00384                                          0.62471                                           0.39616                                           -0.98000                                          2.11345                                           0.18760                                           0.86737                                           3.10479                                           0.00133                                           0.13783                                           0.60104                                           0.39855                                           2.08561                                           -0.65147                                          1.15545                                           2.27351                                           0.19232                                           0.69848                                           5.54642                                           
1.74 1.95                                         388.78233                                         0.55062                                           0.29206                                           -0.23750                                          1.25604                                           0.10034                                           1.05653                                           0.01874                                           0.02883                                           0.60149                                           0.36015                                           -1.04374                                          2.15279                                           0.08051                                           1.05309                                           2.51942                                           -0.18019                                          0.16240                                           0.60109                                           0.60542                                           2.10084                                           -0.61390                                          0.95096                                           2.45568                                           0.38348                                           0.66406                                           5.44288                                           
1.95 2.18                                         365.76447                                         0.49594                                           0.29755                                           -0.32993                                          1.19617                                           0.09415                                           1.16451                                           -0.02595                                          0.02935                                           0.54502                                           0.35426                                           -0.97804                                          2.16295                                           0.14059                                           0.83800                                           1.74983                                           -0.36197                                          0.15400                                           0.48585                                           0.46911                                           2.12903                                           -1.01077                                          0.24698                                           1.61954                                           0.11241                                           0.63788                                           4.70157                                           
2.18 2.4                                          342.48431                                         0.50566                                           0.24256                                           0.10389                                           1.92861                                           0.08771                                           1.11867                                           -0.01744                                          -0.10355                                          0.48860                                           0.33245                                           -0.99071                                          2.15865                                           0.09593                                           0.64045                                           0.89573                                           -0.54060                                          0.16177                                           0.41208                                           0.39820                                           2.11211                                           -0.17867                                          1.05712                                           0.11031                                           0.08595                                           0.66378                                           4.35763                                           
