29
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BkgQCDFitRange                                    BkgQCDFitVar                                      BkgQCDFitPeriod                                   BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            63.94699                                          0.28251                                           0.20986                                           -0.14530                                          0.21215                                           0.03224                                           0.74236                                           0.02786                                           0.02334                                           -0.07341                                          -0.07690                                          -0.04632                                          0.59668                                           0.16873                                           -0.02769                                          0.51504                                           1.00756                                           0.01784                                           0.53073                                           0.33074                                           0.34895                                           -0.06928                                          0.12961                                           -0.15772                                          0.11818                                           0.34956                                           1.74315                                           
0.21 0.42                                         65.08535                                          0.24547                                           0.15240                                           -0.08240                                          0.15576                                           0.03255                                           0.63969                                           -0.01922                                          0.02539                                           -0.07829                                          -0.12683                                          -0.02318                                          0.66542                                           0.10321                                           -0.03207                                          0.33216                                           0.55148                                           0.02406                                           0.56647                                           0.45608                                           0.32531                                           0.01741                                           -0.28667                                          0.28448                                           0.20587                                           0.30244                                           1.51321                                           
0.42 0.63                                         63.07472                                          0.25314                                           0.14065                                           -0.10145                                          0.17750                                           0.03210                                           0.66642                                           -0.03230                                          0.02316                                           -0.16123                                          -0.14469                                          0.02927                                           0.67416                                           0.16547                                           0.09321                                           0.15256                                           0.16381                                           0.01434                                           0.54351                                           0.33003                                           0.37660                                           0.12288                                           0.05553                                           -0.02016                                          0.08270                                           0.29734                                           1.32551                                           
0.63 0.84                                         61.36441                                          0.26021                                           0.17716                                           -0.04559                                          0.19825                                           0.03153                                           0.90744                                           0.01573                                           0.01234                                           -0.10384                                          -0.10021                                          0.07759                                           0.72887                                           0.17305                                           -0.16008                                          -0.00002                                          -0.11490                                          0.01749                                           0.51610                                           0.40827                                           0.40041                                           -0.12477                                          0.08985                                           -0.14570                                          -0.02081                                          0.31443                                           1.50411                                           
0.84 1.05                                         59.12040                                          0.26024                                           0.16242                                           0.07768                                           0.20087                                           0.03093                                           0.89218                                           -0.02232                                          0.01921                                           -0.13752                                          -0.13897                                          0.01875                                           0.82535                                           0.14081                                           0.03534                                           -0.12731                                          -0.29176                                          0.03197                                           0.53128                                           0.22446                                           0.44459                                           0.22309                                           0.15123                                           -0.46489                                          0.12350                                           0.32000                                           1.62803                                           
1.05 1.37                                         56.84431                                          0.18917                                           0.11005                                           0.04645                                           0.23293                                           0.02995                                           0.47345                                           -0.12459                                          -0.07035                                          -0.17929                                          -0.10783                                          -0.08610                                          0.71532                                           0.13389                                           0.02660                                           -0.25530                                          -0.38609                                          0.03295                                           0.45089                                           0.32009                                           0.44956                                           -0.05579                                          0.20368                                           -0.04196                                          -0.01137                                          0.21721                                           1.30859                                           
1.37 1.52                                         55.97632                                          0.25565                                           0.11102                                           0.00253                                           0.14823                                           0.02939                                           0.50537                                           -0.08518                                          -0.09593                                          -0.16692                                          -0.10568                                          0.00866                                           0.76568                                           0.16906                                           0.07971                                           -0.34762                                          -0.36746                                          0.01335                                           0.53563                                           0.49406                                           0.42686                                           0.12048                                           -0.03172                                          0.13025                                           0.12025                                           0.28823                                           1.43757                                           
1.52 1.74                                         53.86451                                          0.20172                                           0.09246                                           -0.02661                                          0.12015                                           0.02851                                           0.40053                                           0.05043                                           -0.03127                                          -0.09685                                          -0.08936                                          0.05803                                           0.80428                                           0.14444                                           -0.06169                                          -0.39478                                          -0.27721                                          0.01774                                           0.55438                                           0.19842                                           0.43726                                           0.15076                                           0.15826                                           0.53725                                           0.10346                                           0.24648                                           1.43510                                           
1.74 1.95                                         52.09796                                          0.21252                                           0.09453                                           -0.03457                                          0.16807                                           0.02750                                           0.41595                                           0.01425                                           -0.04326                                          -0.07642                                          -0.03828                                          0.02499                                           0.76244                                           0.14037                                           0.13990                                           -0.43609                                          -0.11078                                          0.01367                                           0.52775                                           0.31176                                           0.40793                                           -0.04711                                          0.23421                                           0.30546                                           0.18571                                           0.24769                                           1.35414                                           
1.95 2.18                                         49.49926                                          0.19475                                           0.09604                                           -0.05028                                          0.15853                                           0.02604                                           0.43886                                           -0.04329                                          -0.04524                                          -0.10295                                          -0.04650                                          0.03806                                           0.72073                                           0.17807                                           -0.12584                                          -0.45280                                          0.12326                                           0.03438                                           0.48839                                           0.26000                                           0.38006                                           -0.15522                                          0.13801                                           0.14602                                           0.07528                                           0.22088                                           1.26735                                           
2.18 2.4                                          47.70998                                          0.19289                                           0.10644                                           0.02806                                           0.26069                                           0.02483                                           0.44597                                           0.01254                                           -0.06371                                          -0.05607                                          -0.03893                                          0.10380                                           0.75774                                           0.11637                                           0.02113                                           -0.45996                                          0.42026                                           0.02666                                           0.44703                                           0.29156                                           0.33607                                           0.08878                                           0.13619                                           0.22250                                           0.07622                                           0.22375                                           1.34383                                           
