29
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BkgQCDFitRange                                    BkgQCDFitVar                                      BkgQCDFitPeriod                                   BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            140.93911                                         0.40251                                           0.34905                                           -0.28642                                          0.34409                                           0.04669                                           1.38648                                           0.03646                                           0.04082                                           -0.11154                                          0.23697                                           -0.09042                                          -0.19542                                          0.08940                                           -0.07913                                          0.22206                                           0.14298                                           0.06570                                           0.50266                                           -0.12146                                          0.27626                                           0.28867                                           0.13003                                           -0.04236                                          -0.14152                                          0.28457                                           1.73201                                           
0.21 0.42                                         141.26837                                         0.35049                                           0.24251                                           -0.30666                                          0.29557                                           0.04687                                           1.18306                                           0.01669                                           -0.02742                                          -0.12356                                          0.22710                                           -0.11921                                          -0.24370                                          0.15249                                           0.10162                                           0.36206                                           -0.30925                                          0.04911                                           0.56828                                           -0.04789                                          0.28763                                           -0.22996                                          0.10377                                           0.33314                                           -0.04740                                          0.24912                                           1.64108                                           
0.42 0.63                                         142.36798                                         0.35166                                           0.24089                                           -0.31191                                          0.36524                                           0.04736                                           1.14983                                           -0.07428                                          0.02384                                           -0.15530                                          0.22815                                           -0.06905                                          -0.27314                                          0.06554                                           -0.23340                                          0.49941                                           -0.67446                                          0.05627                                           0.55096                                           0.07158                                           0.31012                                           0.22586                                           0.05663                                           -0.12619                                          -0.12485                                          0.24796                                           1.75870                                           
0.63 0.84                                         144.70038                                         0.37067                                           0.30506                                           -0.05730                                          0.35085                                           0.04839                                           1.69951                                           -0.02563                                          -0.01234                                          -0.12568                                          0.21220                                           -0.13614                                          -0.17626                                          0.11548                                           0.14136                                           0.63820                                           -0.95945                                          0.05498                                           0.57957                                           -0.17830                                          0.35241                                           0.14707                                           0.11330                                           0.04246                                           0.05051                                           0.25961                                           2.27676                                           
0.84 1.05                                         145.24887                                         0.39445                                           0.31442                                           0.09118                                           0.46109                                           0.04879                                           1.83207                                           -0.02002                                          -0.02244                                          -0.10263                                          0.15967                                           -0.17103                                          -0.20244                                          0.15885                                           0.13907                                           0.76557                                           -1.14291                                          0.04369                                           0.61539                                           -0.02839                                          0.38662                                           0.29746                                           0.21696                                           -0.24581                                          -0.14384                                          0.27279                                           2.55827                                           
1.05 1.37                                         148.49979                                         0.29850                                           0.20234                                           0.15915                                           0.54613                                           0.05047                                           1.03032                                           -0.07411                                          0.05757                                           -0.16435                                          0.14097                                           -0.21586                                          -0.19989                                          0.12947                                           -0.08940                                          0.93494                                           -1.26163                                          0.02765                                           0.54413                                           -0.04078                                          0.48259                                           -0.03008                                          0.11257                                           0.05110                                           -0.07460                                          0.19316                                           2.15683                                           
1.37 1.52                                         148.81421                                         0.39684                                           0.21976                                           -0.06037                                          0.71823                                           0.05099                                           1.14220                                           -0.04090                                          -0.04988                                          -0.14897                                          0.16090                                           -0.19438                                          -0.18357                                          0.17409                                           0.04951                                           1.06380                                           -1.21718                                          0.04670                                           0.53328                                           -0.12519                                          0.54548                                           0.21642                                           0.19491                                           0.01699                                           -0.07688                                          0.26186                                           2.32467                                           
1.52 1.74                                         151.15910                                         0.33498                                           0.17643                                           -0.05045                                          0.50969                                           0.05183                                           1.00484                                           -0.09488                                          -0.04321                                          -0.15553                                          0.17650                                           -0.23568                                          -0.09514                                          0.17530                                           -0.01935                                          1.17639                                           -1.11143                                          0.06143                                           0.60775                                           -0.06437                                          0.55841                                           -0.19132                                          0.20314                                           0.22677                                           0.01758                                           0.21959                                           2.22573                                           
1.74 1.95                                         153.36326                                         0.35329                                           0.19433                                           0.00297                                           0.49320                                           0.05301                                           1.04881                                           0.01236                                           -0.04474                                          -0.18105                                          0.16743                                           -0.19396                                          -0.20664                                          0.13201                                           -0.06321                                          1.30020                                           -0.88236                                          0.03914                                           0.60756                                           -0.19842                                          0.53734                                           -0.15534                                          0.16331                                           1.03331                                           -0.06297                                          0.22463                                           2.42680                                           
1.95 2.18                                         150.81621                                         0.32375                                           0.20249                                           -0.11720                                          0.59301                                           0.05157                                           1.13377                                           -0.03519                                          0.07238                                           -0.22278                                          0.16873                                           -0.16485                                          -0.18693                                          0.16642                                           0.13498                                           1.37899                                           -0.51368                                          0.04060                                           0.65887                                           -0.04258                                          0.51297                                           -0.25330                                          0.19443                                           1.04304                                           0.13313                                           0.21237                                           2.45072                                           
2.18 2.4                                          145.49921                                         0.32997                                           0.19702                                           -0.00028                                          0.56327                                           0.05011                                           1.12415                                           0.06854                                           0.12283                                           -0.20309                                          0.21753                                           -0.15697                                          -0.27226                                          0.11546                                           -0.04274                                          1.42243                                           -0.03805                                          0.04800                                           0.63489                                           -0.21854                                          0.45876                                           -0.10647                                          0.21908                                           0.99301                                           -0.05406                                          0.21363                                           2.37211                                           
