26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            572.23724                                         0.80707                                           0.69908                                           -1.30111                                          1.42131                                           0.13748                                           2.68183                                           -0.02447                                          -0.02400                                          0.66199                                           -0.75911                                          -0.83497                                          -0.50037                                          0.69818                                           0.59933                                           1.17326                                           0.94283                                           0.13687                                           1.17878                                           0.14909                                           1.44379                                           1.09030                                           0.68325                                           4.65390                                           
0.21 0.42                                         575.34361                                         0.72023                                           0.52077                                           -0.99579                                          1.22393                                           0.13848                                           2.19941                                           0.00532                                           -0.00876                                          0.65851                                           -0.80562                                          -0.96772                                          -0.81139                                          0.50144                                           0.81212                                           1.34202                                           0.59193                                           0.12551                                           1.11038                                           -0.03205                                          1.46245                                           1.64189                                           0.60181                                           4.45015                                           
0.42 0.63                                         574.92842                                         0.69579                                           0.46085                                           -1.11520                                          1.49815                                           0.13936                                           2.16123                                           -0.04792                                          0.03961                                           0.72964                                           -0.71750                                          -0.99286                                          -0.64922                                          0.57390                                           0.64127                                           1.53327                                           0.25760                                           0.10762                                           1.17103                                           0.36440                                           1.51571                                           0.66655                                           0.56448                                           4.31080                                           
0.63 0.84                                         579.80387                                         0.75705                                           0.60405                                           -0.44697                                          1.42760                                           0.14904                                           2.87989                                           0.01648                                           0.03353                                           0.74214                                           -0.66212                                          -1.07704                                          -0.35828                                          0.52136                                           0.60827                                           1.77030                                           -0.05492                                          0.12212                                           1.16406                                           0.12284                                           1.61935                                           0.97379                                           0.66546                                           4.73021                                           
0.84 1.05                                         578.81821                                         0.78153                                           0.62389                                           0.25253                                           1.85785                                           0.14151                                           3.09155                                           0.03683                                           0.01551                                           0.80929                                           -0.69818                                          -1.02373                                          -0.41295                                          0.53172                                           0.71187                                           2.02109                                           -0.34699                                          0.18225                                           1.22469                                           0.21580                                           1.67999                                           0.94983                                           0.59787                                           5.14793                                           
1.05 1.37                                         593.01741                                         0.57039                                           0.42994                                           0.54715                                           2.19319                                           0.14511                                           1.71863                                           0.04104                                           -0.03455                                          0.95915                                           -0.61664                                          -1.25940                                          -0.37530                                          0.59186                                           0.60919                                           2.44287                                           -0.70106                                          0.12499                                           1.25265                                           0.12968                                           1.82831                                           1.05509                                           0.46972                                           4.97571                                           
1.37 1.52                                         590.49784                                         0.78078                                           0.43715                                           -0.20042                                          2.86559                                           0.14533                                           1.90653                                           -0.05664                                          -0.03528                                          0.93843                                           -0.55549                                          -1.22455                                          0.18766                                           0.42706                                           0.77210                                           2.80212                                           -0.97332                                          0.13100                                           1.24191                                           0.03036                                           1.97105                                           1.10936                                           0.63683                                           5.61130                                           
1.52 1.74                                         598.81270                                         0.65728                                           0.38427                                           -0.22213                                          2.04306                                           0.14638                                           1.69434                                           -0.02079                                          -0.06524                                          0.99615                                           -0.60403                                          -1.25148                                          -0.38809                                          0.53674                                           0.66898                                           3.16413                                           -1.18671                                          0.13001                                           1.28251                                           -0.28776                                          2.06516                                           1.25623                                           0.55957                                           5.51346                                           
1.74 1.95                                         595.72040                                         0.66677                                           0.39113                                           -0.05022                                          1.96373                                           0.14487                                           1.77311                                           0.01832                                           0.05437                                           0.89466                                           -0.51198                                          -1.20793                                          -0.42384                                          0.52238                                           0.67817                                           3.55096                                           -1.38936                                          0.13288                                           1.25541                                           -0.31767                                          2.14977                                           2.21236                                           0.52959                                           6.05350                                           
1.95 2.18                                         590.11009                                         0.61556                                           0.41545                                           -0.42141                                          2.37727                                           0.14833                                           2.03439                                           -0.05695                                          -0.17947                                          0.82210                                           -0.46553                                          -1.32382                                          -0.49325                                          0.59106                                           0.79796                                           3.95953                                           -1.56356                                          0.10524                                           1.14378                                           -0.55078                                          2.23354                                           2.55329                                           0.53712                                           6.75382                                           
2.18 2.4                                          564.10217                                         0.63299                                           0.34535                                           -0.05052                                          2.26202                                           0.13514                                           1.97935                                           -0.03252                                          -0.12702                                          0.80120                                           -0.49107                                          -1.11467                                          -0.73419                                          0.43657                                           0.62093                                           4.25050                                           -1.65341                                          0.10415                                           1.14774                                           -0.67803                                          2.22321                                           1.83635                                           0.51472                                           6.60309                                           
