26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            31.44909                                          0.22452                                           0.10784                                           -0.08353                                          0.11461                                           0.01987                                           0.60282                                           0.03811                                           0.01154                                           -0.06348                                          -0.07713                                          0.07097                                           1.49350                                           0.34233                                           0.21268                                           0.29164                                           0.66267                                           0.04638                                           0.14942                                           0.56826                                           0.36133                                           0.71133                                           0.45853                                           2.12685                                           
0.21 0.42                                         29.12560                                          0.18782                                           0.05735                                           -0.01356                                          0.07845                                           0.01872                                           0.41556                                           0.01384                                           0.02362                                           -0.10092                                          -0.09392                                          0.08429                                           1.47717                                           0.18071                                           -0.07719                                          0.33414                                           0.51924                                           0.04367                                           0.16015                                           0.69799                                           0.36609                                           0.94791                                           0.39880                                           2.12550                                           
0.42 0.63                                         30.59442                                          0.19169                                           0.06190                                           -0.07640                                          0.09503                                           0.01968                                           0.42289                                           0.02781                                           -0.03029                                          -0.05909                                          -0.05951                                          -0.04697                                          1.58045                                           0.27870                                           0.15336                                           0.37905                                           0.48958                                           0.04675                                           0.16013                                           0.82172                                           0.38738                                           0.92606                                           0.40107                                           2.25006                                           
0.63 0.84                                         29.82254                                          0.20312                                           0.09240                                           -0.07427                                          0.10531                                           0.01921                                           0.56322                                           -0.02075                                          0.02591                                           -0.01485                                          0.00650                                           0.08496                                           1.58882                                           0.22743                                           0.18866                                           0.35863                                           0.46507                                           0.03753                                           0.17646                                           0.41295                                           0.37831                                           0.60290                                           0.41296                                           2.04648                                           
0.84 1.05                                         29.02458                                          0.19367                                           0.09054                                           -0.00681                                          0.10752                                           0.01885                                           0.55137                                           0.00958                                           -0.01838                                          -0.02734                                          0.03303                                           0.10477                                           1.63302                                           0.28021                                           -0.13705                                          0.30128                                           0.48194                                           0.02929                                           0.27343                                           0.56873                                           0.36128                                           0.30391                                           0.41785                                           2.05452                                           
1.05 1.37                                         27.96135                                          0.14719                                           0.04601                                           0.04879                                           0.12271                                           0.01806                                           0.27962                                           0.06444                                           0.04965                                           -0.07705                                          -0.03458                                          0.07386                                           1.50422                                           0.21159                                           0.11618                                           0.18104                                           0.55651                                           0.01767                                           0.18967                                           0.51377                                           0.35602                                           0.51665                                           0.28961                                           1.88640                                           
1.37 1.52                                         26.81797                                          0.18878                                           0.01199                                           0.00614                                           0.07646                                           0.01748                                           0.28075                                           0.05919                                           -0.03788                                          -0.05845                                          -0.03129                                          0.09238                                           1.46249                                           0.31546                                           -0.11196                                          0.03498                                           0.66285                                           0.03156                                           0.22465                                           0.53085                                           0.35472                                           0.77733                                           0.41647                                           2.00782                                           
1.52 1.74                                         24.62965                                          0.14817                                           0.02016                                           -0.01674                                          0.05864                                           0.01622                                           0.21548                                           0.01488                                           0.04434                                           -0.06548                                          -0.01963                                          0.12046                                           1.54338                                           0.24460                                           -0.20015                                          -0.09593                                          0.73286                                           0.02925                                           0.21553                                           0.47419                                           0.34395                                           0.55519                                           0.33192                                           1.97719                                           
1.74 1.95                                         26.01736                                          0.15044                                           0.02346                                           -0.03374                                          0.08818                                           0.01680                                           0.23386                                           -0.03570                                          0.05832                                           0.07520                                           0.04527                                           0.15410                                           1.74192                                           0.17280                                           0.15862                                           -0.29105                                          0.96247                                           0.03103                                           0.33870                                           0.72175                                           0.31254                                           1.36250                                           0.35281                                           2.62985                                           
1.95 2.18                                         24.55847                                          0.13854                                           0.02684                                           -0.03287                                          0.08100                                           0.01556                                           0.27330                                           0.04298                                           0.03658                                           -0.08028                                          -0.05823                                          0.10522                                           1.64728                                           0.22290                                           0.05975                                           -0.49212                                          1.12817                                           0.01743                                           0.25182                                           0.59815                                           0.28068                                           0.19652                                           0.31233                                           2.24178                                           
2.18 2.4                                          23.22820                                          0.13632                                           0.01783                                           0.01191                                           0.13332                                           0.01468                                           0.25338                                           -0.03699                                          -0.06285                                          -0.13461                                          -0.06051                                          0.10722                                           1.71459                                           0.33998                                           -0.12399                                          -0.70954                                          1.31695                                           0.01759                                           0.28346                                           0.49383                                           0.26071                                           0.73161                                           0.32501                                           2.54229                                           
