26
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            35.71910                                          0.19218                                           0.13995                                           -0.08343                                          0.09797                                           0.01026                                           0.46550                                           -0.00499                                          0.00672                                           0.14318                                           -0.27274                                          -0.22899                                          0.24168                                           0.49676                                           0.38771                                           0.52822                                           0.23423                                           0.01249                                           0.15006                                           0.08211                                           0.26702                                           0.10407                                           0.12740                                           1.14781                                           
0.21 0.42                                         36.59879                                          0.16428                                           0.09507                                           -0.02138                                          0.08665                                           0.01039                                           0.39409                                           0.02346                                           0.01843                                           0.14179                                           -0.27531                                          -0.24763                                          0.25350                                           0.49858                                           0.52783                                           0.69268                                           0.16218                                           0.01701                                           0.15125                                           0.02207                                           0.26287                                           0.21574                                           0.13447                                           1.25916                                           
0.42 0.63                                         36.45819                                          0.16033                                           0.09213                                           -0.05889                                          0.10473                                           0.01027                                           0.36734                                           -0.00638                                          0.01115                                           0.18634                                           -0.28843                                          -0.21774                                          0.25928                                           0.58972                                           0.49036                                           0.79552                                           0.11147                                           0.00864                                           0.14777                                           0.22607                                           0.25462                                           0.10189                                           0.13213                                           1.33786                                           
0.63 0.84                                         35.59796                                          0.17428                                           0.12636                                           -0.07852                                          0.09700                                           0.01019                                           0.46402                                           0.02079                                           0.02012                                           0.19044                                           -0.26484                                          -0.20297                                          0.29528                                           0.50605                                           0.34806                                           0.83545                                           0.08674                                           0.00730                                           0.14404                                           0.13415                                           0.24289                                           0.25165                                           0.14303                                           1.32171                                           
0.84 1.05                                         34.67616                                          0.17417                                           0.12697                                           0.02702                                           0.12045                                           0.00964                                           0.43903                                           0.02523                                           0.02335                                           0.17173                                           -0.25443                                          -0.19984                                          0.23006                                           0.58020                                           0.41269                                           0.82785                                           0.08906                                           0.01273                                           0.14981                                           0.15630                                           0.22550                                           0.19500                                           0.12434                                           1.32817                                           
1.05 1.37                                         35.37333                                          0.12856                                           0.07095                                           0.03107                                           0.14178                                           0.00959                                           0.21946                                           0.02134                                           0.06483                                           0.19576                                           -0.19046                                          -0.22696                                          0.21450                                           0.62363                                           0.44093                                           0.79971                                           0.13473                                           0.01041                                           0.11230                                           0.12731                                           0.19669                                           0.16576                                           0.10121                                           1.26392                                           
1.37 1.52                                         34.13462                                          0.16858                                           0.05585                                           -0.00294                                          0.17941                                           0.00909                                           0.23593                                           0.02544                                           0.04042                                           0.20219                                           -0.18991                                          -0.21200                                          0.25260                                           0.58049                                           0.35119                                           0.67679                                           0.20178                                           0.01992                                           0.09886                                           0.10145                                           0.18307                                           0.18896                                           0.13936                                           1.16069                                           
1.52 1.74                                         33.50938                                          0.13902                                           0.04046                                           -0.02243                                          0.12648                                           0.00841                                           0.20334                                           0.00791                                           0.05315                                           0.19428                                           -0.18923                                          -0.21225                                          0.24010                                           0.61556                                           0.33606                                           0.55430                                           0.27577                                           0.01337                                           0.08145                                           0.13667                                           0.17551                                           0.09826                                           0.10503                                           1.09125                                           
1.74 1.95                                         31.38520                                          0.13981                                           0.03997                                           -0.00948                                          0.11912                                           0.00810                                           0.21156                                           0.01010                                           0.04356                                           0.17562                                           -0.16967                                          -0.19019                                          0.19643                                           0.54952                                           0.40142                                           0.36124                                           0.36589                                           0.01658                                           0.07865                                           0.10788                                           0.17594                                           0.08827                                           0.10368                                           0.99607                                           
1.95 2.18                                         30.35563                                          0.13384                                           0.05471                                           -0.01941                                          0.13994                                           0.00786                                           0.23567                                           0.01014                                           0.03318                                           0.14793                                           -0.12694                                          -0.12074                                          0.08083                                           0.52018                                           0.31861                                           0.15210                                           0.48516                                           0.01107                                           0.13735                                           -0.02169                                          0.17631                                           0.29579                                           0.05575                                           0.95427                                           
2.18 2.4                                          26.88800                                          0.13179                                           0.04923                                           0.00404                                           0.12628                                           0.00609                                           0.21920                                           0.03870                                           0.13722                                           0.19769                                           -0.17818                                          -0.19405                                          0.15071                                           0.52598                                           0.31378                                           -0.08199                                          0.57164                                           0.01823                                           0.03976                                           0.05798                                           0.18465                                           0.03738                                           0.10425                                           0.98906                                           
