31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            432.76871                                         0.70856                                           0.58898                                           -1.05469                                          0.58090                                           -0.18169                                          0.10629                                           1.04130                                           0.73954                                           0.06636                                           -0.03037                                          -0.02564                                          0.49118                                           0.61502                                           -0.85366                                          -0.74843                                          0.65209                                           0.61096                                           0.02806                                           -0.00889                                          0.74222                                           0.16506                                           0.86022                                           0.24423                                           0.65846                                           1.29155                                           1.29323                                           0.62246                                           3.42423                                           
0.21 0.42                                         430.83034                                         0.62810                                           0.43389                                           -0.34251                                          0.57927                                           0.02336                                           0.10488                                           0.88576                                           0.24221                                           0.06566                                           -0.02786                                          0.02919                                           0.52120                                           0.60577                                           -0.78416                                          -0.57676                                          0.51417                                           0.56557                                           0.78874                                           0.00255                                           0.52321                                           0.12835                                           0.82508                                           0.30327                                           0.45903                                           1.25453                                           1.92791                                           0.50767                                           3.33413                                           
0.42 0.63                                         425.33315                                         0.60365                                           0.38076                                           -0.66377                                          0.58054                                           -0.21079                                          0.10404                                           0.85767                                           0.22889                                           0.06490                                           -0.01866                                          0.03408                                           0.48783                                           0.47755                                           -0.72356                                          -0.76220                                          0.50137                                           0.64779                                           1.40180                                           -0.04812                                          0.39012                                           0.14270                                           0.81313                                           0.10912                                           0.35974                                           1.29904                                           0.93194                                           0.49973                                           3.12430                                           
0.63 0.84                                         419.51836                                         0.64743                                           0.49266                                           -0.19132                                          0.58586                                           -0.48775                                          0.10340                                           1.11772                                           0.24357                                           0.06421                                           0.01095                                           -0.01669                                          0.51466                                           0.48453                                           -0.83170                                          -0.52710                                          0.61607                                           0.68373                                           1.87102                                           -0.15847                                          0.34392                                           0.15442                                           0.77137                                           -0.00254                                          0.34868                                           1.36288                                           1.06688                                           0.56667                                           3.49311                                           
0.84 1.05                                         407.57549                                         0.66149                                           0.50490                                           0.46162                                           0.60926                                           0.00928                                           0.10116                                           1.16257                                           0.37176                                           0.06252                                           0.03041                                           0.01960                                           0.50420                                           0.45793                                           -0.77487                                          -0.42156                                          0.50765                                           0.67170                                           2.16961                                           -0.32113                                          0.33923                                           0.16447                                           0.57338                                           -0.01200                                          0.36368                                           1.41451                                           0.70594                                           0.56993                                           3.54021                                           
1.05 1.37                                         400.86244                                         0.47492                                           0.33987                                           0.31601                                           0.60853                                           -0.37078                                          0.10043                                           0.60975                                           0.41022                                           0.06166                                           -0.08180                                          -0.04790                                          0.60622                                           0.36427                                           -0.82020                                          -0.32422                                          0.47551                                           0.64786                                           2.39843                                           -0.60657                                          0.34011                                           0.12265                                           0.69697                                           0.09727                                           0.37316                                           1.52124                                           0.78742                                           0.40980                                           3.63287                                           
1.37 1.52                                         383.51742                                         0.63768                                           0.34243                                           -0.04841                                          0.60547                                           -0.00497                                          0.09562                                           0.64465                                           0.21688                                           0.05839                                           0.07799                                           -0.04026                                          0.60368                                           0.39838                                           -0.80459                                          -0.24513                                          0.43719                                           0.72196                                           2.36538                                           -0.90135                                          0.30646                                           0.10769                                           0.63020                                           0.30274                                           0.34167                                           1.58844                                           0.70599                                           0.53366                                           3.65197                                           
1.52 1.74                                         375.16209                                         0.52700                                           0.29428                                           -0.12200                                          0.62276                                           -0.08901                                          0.09429                                           0.54540                                           0.17523                                           0.05686                                           -0.03514                                          -0.01516                                          0.55888                                           0.33975                                           -0.78344                                          -0.13797                                          0.47051                                           0.74272                                           2.26888                                           -1.17703                                          0.27396                                           0.08877                                           0.59309                                           -0.34699                                          0.31365                                           1.67377                                           1.28731                                           0.45935                                           3.81168                                           
1.74 1.95                                         361.60122                                         0.52661                                           0.29523                                           -0.24000                                          0.68248                                           -0.33058                                          0.09013                                           0.53373                                           0.20459                                           0.05507                                           -0.04535                                          -0.04959                                          0.52835                                           0.34077                                           -0.71136                                          -0.15061                                          0.38516                                           0.64154                                           2.03040                                           -1.51660                                          0.25405                                           0.10004                                           0.50868                                           -0.31790                                          0.30370                                           1.73207                                           0.95104                                           0.43595                                           3.68646                                           
1.95 2.18                                         340.00509                                         0.47466                                           0.29781                                           -0.28559                                          0.65745                                           0.06827                                           0.08471                                           0.56682                                           0.24735                                           0.05184                                           -0.06146                                          -0.06809                                          0.53058                                           0.34634                                           -0.65993                                          0.11521                                           0.38661                                           0.69142                                           1.64761                                           -1.84736                                          0.30163                                           0.08907                                           0.44609                                           -0.28982                                          0.35997                                           1.80404                                           0.88547                                           0.40193                                           3.65030                                           
2.18 2.4                                          318.49774                                         0.48379                                           0.24386                                           0.09470                                           0.67078                                           -0.01559                                          0.07888                                           0.55672                                           0.22631                                           0.04890                                           -0.03353                                          -0.07799                                          0.49155                                           0.31091                                           -0.67123                                          -0.09281                                          0.40141                                           0.53928                                           1.18404                                           -2.18678                                          0.42953                                           0.09956                                           0.38313                                           -0.29127                                          0.49376                                           1.80895                                           0.90893                                           0.41020                                           3.64218                                           
