31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            63.96686                                          0.28260                                           0.20999                                           -0.15546                                          0.08703                                           -0.02683                                          0.03469                                           0.41594                                           0.11019                                           0.03659                                           0.02728                                           0.02287                                           -0.07414                                          -0.07759                                          0.05159                                           0.53095                                           0.16852                                           -0.02706                                          -0.35697                                          1.06188                                           0.31482                                           0.01775                                           0.53047                                           0.32900                                           0.26873                                           0.34926                                           0.21140                                           0.33805                                           1.63951                                           
0.21 0.42                                         65.07161                                          0.24525                                           0.16010                                           -0.08302                                          0.08791                                           0.00478                                           0.03500                                           0.36015                                           0.03656                                           0.03722                                           -0.01898                                          0.02510                                           -0.07845                                          -0.12696                                          0.04402                                           0.59482                                           0.10253                                           -0.03309                                          -0.31021                                          0.71390                                           0.22311                                           0.02408                                           0.56647                                           0.45562                                           0.19144                                           0.32544                                           0.65964                                           0.29305                                           1.55333                                           
0.42 0.63                                         63.04417                                          0.24800                                           0.14249                                           -0.10191                                          0.08752                                           -0.03338                                          0.03454                                           0.36449                                           0.03396                                           0.03606                                           -0.03240                                          0.02337                                           -0.16112                                          -0.14461                                          0.11234                                           0.57355                                           0.16562                                           0.09319                                           -0.25967                                          0.39234                                           0.16612                                           0.01440                                           0.54346                                           0.32948                                           0.14723                                           0.37672                                           0.20601                                           0.29801                                           1.24501                                           
0.63 0.84                                         61.34466                                          0.25920                                           0.17932                                           -0.04784                                          0.08723                                           -0.07991                                          0.03391                                           0.50857                                           0.03564                                           0.03509                                           0.01619                                           0.01295                                           -0.10390                                          -0.09989                                          0.04547                                           0.61234                                           0.17573                                           -0.15640                                          -0.22303                                          0.14461                                           0.15299                                           0.01781                                           0.51586                                           0.40665                                           0.14078                                           0.40032                                           0.30372                                           0.31147                                           1.28821                                           
0.84 1.05                                         59.05467                                          0.26007                                           0.16209                                           0.08047                                           0.09084                                           0.00356                                           0.03326                                           0.51724                                           0.05505                                           0.03378                                           -0.02023                                          0.01856                                           -0.13265                                          -0.13428                                          0.09478                                           0.69250                                           0.14573                                           0.03136                                           -0.19591                                          -0.03702                                          0.15595                                           0.02930                                           0.52854                                           0.23255                                           0.14550                                           0.44612                                           0.53888                                           0.32432                                           1.36934                                           
1.05 1.37                                         56.84510                                          0.18886                                           0.10549                                           0.04147                                           0.08777                                           -0.05523                                          0.03222                                           0.24882                                           0.05860                                           0.03252                                           -0.12461                                          -0.06966                                          -0.17939                                          -0.10791                                          -0.03156                                          0.61233                                           0.13422                                           0.02798                                           -0.17914                                          -0.17817                                          0.15622                                           0.03302                                           0.45046                                           0.31976                                           0.14611                                           0.44955                                           0.21414                                           0.21980                                           1.12343                                           
1.37 1.52                                         55.97575                                          0.24825                                           0.10901                                           0.00203                                           0.08789                                           -0.00014                                          0.03159                                           0.28256                                           0.03170                                           0.03202                                           -0.08575                                          -0.09634                                          -0.16706                                          -0.10579                                          0.09540                                           0.67614                                           0.16905                                           0.07922                                           -0.18047                                          -0.23416                                          0.14689                                           0.01333                                           0.53549                                           0.49477                                           0.13770                                           0.42679                                           0.34139                                           0.29394                                           1.30542                                           
1.52 1.74                                         53.84765                                          0.19835                                           0.08989                                           -0.02705                                          0.08844                                           -0.01372                                          0.03066                                           0.22067                                           0.02512                                           0.03080                                           0.05040                                           -0.03114                                          -0.09671                                          -0.08945                                          0.09674                                           0.68756                                           0.14437                                           -0.06074                                          -0.18453                                          -0.22789                                          0.13212                                           0.01766                                           0.55415                                           0.19822                                           0.12430                                           0.43726                                           0.66297                                           0.24888                                           1.32430                                           
1.74 1.95                                         52.09620                                          0.20372                                           0.08904                                           -0.03547                                          0.08936                                           -0.04322                                          0.02957                                           0.22451                                           0.02947                                           0.02980                                           0.01432                                           -0.04301                                          -0.07657                                          -0.03850                                          0.11258                                           0.68381                                           0.14063                                           0.13993                                           -0.19918                                          -0.17865                                          0.12856                                           0.01366                                           0.52773                                           0.31137                                           0.12081                                           0.40798                                           0.40179                                           0.24866                                           1.21209                                           
1.95 2.18                                         49.51096                                          0.19338                                           0.09697                                           -0.05001                                          0.09001                                           0.00915                                           0.02802                                           0.23158                                           0.03594                                           0.02832                                           -0.04322                                          -0.04525                                          -0.10282                                          -0.04636                                          0.09874                                           0.64309                                           0.17794                                           -0.12598                                          -0.21824                                          -0.08174                                          0.15635                                           0.03448                                           0.48887                                           0.26117                                           0.14474                                           0.38004                                           0.42085                                           0.22567                                           1.15959                                           
2.18 2.4                                          47.59736                                          0.19203                                           0.09116                                           0.02890                                           0.09118                                           -0.00267                                          0.02666                                           0.24417                                           0.03386                                           0.02723                                           0.01261                                           -0.06379                                          -0.05629                                          -0.03910                                          0.16577                                           0.71720                                           0.11649                                           0.02096                                           -0.24719                                          0.05563                                           0.22315                                           0.02658                                           0.44615                                           0.29133                                           0.20374                                           0.33609                                           0.24005                                           0.21929                                           1.14161                                           
