31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            168.17167                                         0.44509                                           0.39587                                           -0.38975                                          0.21908                                           0.07661                                           0.02144                                           0.81595                                           0.28404                                           0.04263                                           -0.03028                                          -0.01818                                          0.01664                                           0.11143                                           -0.23671                                          -0.71528                                          0.08708                                           -0.02708                                          0.20652                                           -0.69637                                          0.84735                                           0.03314                                           0.18745                                           -0.20174                                          0.25989                                           0.18091                                           0.46248                                           0.20877                                           1.83886                                           
0.21 0.42                                         167.20444                                         0.38185                                           0.30572                                           -0.26476                                          0.21855                                           0.15479                                           0.02135                                           0.65810                                           0.09719                                           0.04238                                           -0.04624                                          0.01623                                           0.07393                                           0.04669                                           -0.19398                                          -0.66589                                          0.09640                                           -0.02683                                          0.40031                                           -0.92638                                          0.59201                                           0.03405                                           0.20325                                           -0.40511                                          0.18095                                           0.19262                                           0.37886                                           0.18102                                           1.73286                                           
0.42 0.63                                         167.61537                                         0.38027                                           0.28031                                           -0.31391                                          0.22123                                           -0.00796                                          0.02139                                           0.66460                                           0.09013                                           0.04249                                           0.01800                                           0.05232                                           0.11799                                           -0.05682                                          -0.24854                                          -0.74150                                          0.03549                                           0.13642                                           0.53675                                           -1.12275                                          0.45104                                           0.01586                                           0.20545                                           -0.32973                                          0.14399                                           0.18610                                           0.30930                                           0.17943                                           1.84835                                           
0.63 0.84                                         168.82544                                         0.41048                                           0.34357                                           -0.09826                                          0.22805                                           0.23887                                           0.02159                                           0.86562                                           0.09291                                           0.04279                                           -0.02244                                          0.00873                                           0.08016                                           -0.01393                                          -0.25585                                          -0.70463                                          0.06447                                           0.10900                                           0.61662                                           -1.28558                                          0.41694                                           0.03909                                           0.19641                                           -0.19203                                          0.14252                                           0.20178                                           0.48288                                           0.18646                                           2.04815                                           
0.84 1.05                                         168.08574                                         0.42222                                           0.36664                                           0.00372                                           0.24244                                           0.21954                                           0.02157                                           0.87111                                           0.15078                                           0.04260                                           -0.01513                                          -0.02665                                          0.08230                                           -0.05211                                          -0.27424                                          -0.69823                                          0.02777                                           0.11234                                           0.62942                                           -1.39339                                          0.43131                                           0.07501                                           0.23701                                           -0.24798                                          0.15234                                           0.23340                                           0.26396                                           0.19575                                           2.10820                                           
1.05 1.37                                         171.75676                                         0.31633                                           0.23924                                           0.15245                                           0.25171                                           0.17301                                           0.02256                                           0.47659                                           0.17554                                           0.04354                                           -0.06270                                          -0.06560                                          0.17563                                           -0.04064                                          -0.28090                                          -0.71835                                          0.04203                                           0.01927                                           0.57541                                           -1.51089                                          0.45611                                           0.04294                                           0.24665                                           -0.28943                                          0.16240                                           0.29979                                           0.35655                                           0.14024                                           2.07445                                           
1.37 1.52                                         172.08546                                         0.41763                                           0.24220                                           -0.05691                                          0.26137                                           -0.32068                                          0.02250                                           0.55493                                           0.09831                                           0.04362                                           -0.03292                                          -0.17476                                          0.11531                                           -0.03653                                          -0.29760                                          -0.70819                                          0.14721                                           0.17410                                           0.43424                                           -1.53576                                          0.43494                                           0.02145                                           0.23120                                           -0.43196                                          0.15572                                           0.36374                                           0.62222                                           0.17996                                           2.18959                                           
1.52 1.74                                         174.98487                                         0.35020                                           0.19360                                           -0.05795                                          0.27934                                           0.07496                                           0.02292                                           0.52861                                           0.07939                                           0.04435                                           -0.12341                                          -0.09927                                          0.18407                                           -0.07813                                          -0.30869                                          -0.80777                                          0.07662                                           -0.04745                                          0.27250                                           -1.54200                                          0.40838                                           0.02138                                           0.23741                                           -0.51561                                          0.14859                                           0.41802                                           0.50369                                           0.15984                                           2.15667                                           
1.74 1.95                                         173.51836                                         0.36705                                           0.20402                                           -0.01534                                          0.29749                                           0.19914                                           0.02355                                           0.54316                                           0.10149                                           0.04398                                           0.03106                                           -0.11885                                          0.09477                                           0.04356                                           -0.21798                                          -0.77891                                          0.04498                                           -0.07522                                          0.01482                                           -1.46558                                          0.39247                                           0.02862                                           0.25679                                           -0.51824                                          0.14802                                           0.47602                                           0.34433                                           0.15602                                           2.04807                                           
1.95 2.18                                         174.66200                                         0.35135                                           0.22054                                           -0.10350                                          0.32502                                           0.46808                                           0.02349                                           0.59387                                           0.12855                                           0.04427                                           -0.01650                                          -0.31588                                          0.07605                                           0.02963                                           -0.23176                                          -0.78780                                          0.02435                                           -0.07149                                          -0.31598                                          -1.36405                                          0.49135                                           0.04169                                           0.27316                                           -0.57573                                          0.18782                                           0.49205                                           0.52644                                           0.15169                                           2.17482                                           
2.18 2.4                                          172.86764                                         0.36437                                           0.23261                                           -0.01322                                          0.34582                                           0.47028                                           0.02288                                           0.63389                                           0.13002                                           0.04382                                           -0.11786                                          -0.43805                                          -0.07142                                          -0.11955                                          -0.29246                                          -0.81158                                          0.05250                                           -0.03519                                          -0.71791                                          -1.19010                                          0.72635                                           0.03651                                           0.30699                                           -0.45778                                          0.27220                                           0.46675                                           0.57658                                           0.16057                                           2.28126                                           
