31
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       ONLYBGTheoryPowhegJimmy_Uncorr_smoothed           BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            631.98118                                         0.85610                                           0.71725                                           -1.40684                                          0.91374                                           0.24047                                           0.24214                                           1.54570                                           1.07102                                           0.10794                                           -0.02167                                          0.08399                                           0.72652                                           -0.88002                                          -1.03361                                          1.96162                                           0.10764                                           0.80280                                           2.59519                                           3.81658                                           1.77809                                           0.25156                                           0.93690                                           1.62974                                           0.89995                                           1.98138                                           3.66841                                           0.98657                                           7.81674                                           
0.21 0.42                                         633.98936                                         0.76155                                           0.52581                                           -1.15526                                          0.92342                                           0.53872                                           0.25008                                           1.26826                                           0.36848                                           0.10914                                           -0.07395                                          -0.06838                                          0.79455                                           -0.99377                                          -1.21277                                          1.77965                                           0.24809                                           0.93995                                           2.91361                                           3.43480                                           1.27304                                           0.23057                                           0.86947                                           1.72336                                           0.63221                                           2.03019                                           5.31545                                           0.87069                                           8.42644                                           
0.42 0.63                                         633.15316                                         0.73519                                           0.46315                                           -1.38966                                          0.93067                                           -0.03553                                          0.18184                                           1.27534                                           0.34038                                           0.10948                                           -0.04490                                          0.03394                                           0.70188                                           -0.67667                                          -1.13599                                          1.91193                                           0.26828                                           0.68139                                           3.23521                                           3.08832                                           0.95348                                           0.21367                                           0.98471                                           1.76012                                           0.50120                                           2.07543                                           2.97522                                           0.86462                                           7.10079                                           
0.63 0.84                                         640.05856                                         0.79942                                           0.61577                                           -0.35752                                          0.89123                                           0.93995                                           0.18444                                           1.76662                                           0.35224                                           0.11051                                           0.02140                                           -0.02956                                          0.77917                                           -0.71648                                          -1.30344                                          2.44833                                           0.26678                                           1.02565                                           3.61534                                           2.82834                                           0.83754                                           0.15241                                           1.06955                                           1.75213                                           0.49790                                           2.17531                                           5.33034                                           0.98910                                           8.70596                                           
0.84 1.05                                         636.86611                                         0.82181                                           0.63221                                           0.20648                                           0.94791                                           0.78302                                           0.18463                                           1.73841                                           0.57463                                           0.11055                                           0.04796                                           0.03116                                           0.90295                                           -0.80733                                          -1.14276                                          2.74977                                           0.20335                                           1.12905                                           3.95620                                           2.57377                                           0.82587                                           0.13756                                           1.14214                                           1.72439                                           0.53186                                           2.27690                                           3.09153                                           0.95992                                           7.75933                                           
1.05 1.37                                         653.40866                                         0.60014                                           0.43140                                           0.62688                                           0.98219                                           0.68528                                           0.18948                                           0.97758                                           0.66873                                           0.11319                                           0.09754                                           0.02387                                           1.09120                                           -0.73925                                          -1.34737                                          2.37817                                           0.21069                                           0.85254                                           4.54671                                           2.40508                                           0.85375                                           0.17262                                           1.19610                                           1.66176                                           0.56929                                           2.41232                                           4.11057                                           0.73727                                           8.27321                                           
1.37 1.52                                         650.08661                                         0.82146                                           0.42878                                           -0.36909                                          1.01041                                           -1.27332                                          0.18932                                           1.11221                                           0.37109                                           0.11263                                           -0.01973                                          -0.02981                                          1.05710                                           -0.61340                                          -1.05418                                          2.91009                                           0.41225                                           1.13396                                           4.97538                                           2.25540                                           0.79652                                           0.18891                                           1.30739                                           1.56131                                           0.54205                                           2.56504                                           3.44645                                           1.01079                                           8.44675                                           
1.52 1.74                                         659.46663                                         0.69087                                           0.37959                                           -0.24268                                          1.06987                                           0.34171                                           0.18916                                           0.94770                                           0.29903                                           0.11344                                           -0.04302                                          -0.02784                                          1.05680                                           -0.64274                                          -1.02646                                          2.84318                                           0.41715                                           0.93493                                           5.42235                                           2.22539                                           0.73312                                           0.21983                                           1.44480                                           1.20553                                           0.51602                                           2.62442                                           4.80559                                           0.85104                                           9.14719                                           
1.74 1.95                                         654.23210                                         0.69727                                           0.38410                                           -0.06180                                          1.12981                                           0.76384                                           0.18615                                           1.00636                                           0.38276                                           0.11226                                           0.00882                                           -0.05647                                          0.93829                                           -0.56980                                          -0.88981                                          2.63656                                           0.22459                                           1.04161                                           5.82766                                           2.18743                                           0.68670                                           0.22883                                           1.45904                                           1.19557                                           0.51427                                           2.69345                                           5.86696                                           0.81009                                           9.93629                                           
1.95 2.18                                         646.69715                                         0.64197                                           0.41475                                           -0.45183                                          1.20835                                           1.77700                                           0.17974                                           1.03755                                           0.47613                                           0.10903                                           0.02802                                           -0.08113                                          0.88831                                           -0.52428                                          -0.96896                                          2.39783                                           0.39407                                           1.07615                                           6.23141                                           2.19872                                           0.84797                                           0.22590                                           1.44607                                           0.99469                                           0.64081                                           2.71054                                           7.95603                                           0.74750                                           11.59935                                          
2.18 2.4                                          611.76846                                         0.65832                                           0.34261                                           -0.03817                                          1.24186                                           1.67591                                           0.16609                                           1.06209                                           0.45988                                           0.10069                                           -0.03245                                          -0.07832                                          0.84759                                           -0.54822                                          -0.87794                                          1.85080                                           0.11373                                           0.86278                                           6.36761                                           2.17169                                           1.22923                                           0.21090                                           1.41618                                           0.37194                                           0.88764                                           2.68232                                           5.14584                                           0.82356                                           9.79436                                           
