30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            473.31168                                         0.76045                                           0.61399                                           -1.10937                                          0.64119                                           -0.20074                                          0.12829                                           1.09860                                           0.80939                                           0.07329                                           -0.02513                                          -0.02461                                          0.53582                                           0.65921                                           -0.86812                                          0.91103                                           0.47239                                           0.94535                                           1.46147                                           1.10196                                           1.47970                                           0.20145                                           0.76173                                           1.08413                                           1.49991                                           4.40965                                           0.88842                                           6.09806                                           
0.21 0.42                                         468.92827                                         0.67210                                           0.44569                                           -0.37589                                          0.63685                                           0.02764                                           0.12660                                           0.93022                                           0.26369                                           0.07249                                           -0.02465                                          0.05681                                           0.52457                                           0.68153                                           -0.81587                                          0.87837                                           0.26401                                           0.65222                                           1.91915                                           1.34139                                           1.03379                                           0.17911                                           0.72408                                           1.17448                                           1.48508                                           3.58389                                           0.77455                                           5.33992                                           
0.42 0.63                                         464.15788                                         0.64694                                           0.39203                                           -0.78643                                          0.63983                                           -0.23400                                          0.12566                                           0.91689                                           0.24973                                           0.07161                                           0.00526                                           0.00812                                           0.53928                                           0.55707                                           -0.78887                                          0.77738                                           0.18924                                           0.76803                                           2.26687                                           1.45676                                           0.78984                                           0.15847                                           0.69674                                           1.07555                                           1.55055                                           2.78624                                           0.76423                                           4.99173                                           
0.63 0.84                                         458.68482                                         0.69315                                           0.51256                                           -0.30006                                          0.64543                                           -0.53783                                          0.12456                                           1.18926                                           0.26627                                           0.07089                                           -0.00916                                          0.02219                                           0.58013                                           0.56795                                           -0.91301                                          0.97930                                           0.34094                                           0.95897                                           2.50507                                           1.45039                                           0.72888                                           0.15832                                           0.71190                                           0.69385                                           1.60795                                           4.71107                                           0.81550                                           6.43590                                           
0.84 1.05                                         444.75165                                         0.70470                                           0.52316                                           0.43955                                           0.67007                                           0.01280                                           0.12189                                           1.23921                                           0.40616                                           0.06912                                           0.04507                                           0.02235                                           0.59548                                           0.56230                                           -0.71841                                          1.29045                                           0.16700                                           0.89056                                           2.59083                                           1.30366                                           0.73758                                           0.17234                                           0.58394                                           0.92455                                           1.65795                                           3.34751                                           0.87418                                           5.58680                                           
1.05 1.37                                         437.24720                                         0.50700                                           0.34995                                           0.37552                                           0.66760                                           -0.40875                                          0.12052                                           0.64862                                           0.44768                                           0.06782                                           0.02223                                           0.01941                                           0.65754                                           0.41890                                           -0.89302                                          1.31372                                           0.19873                                           1.00105                                           2.61460                                           0.99553                                           0.74793                                           0.13228                                           0.65631                                           0.87880                                           1.74933                                           3.00968                                           0.60436                                           5.27076                                           
1.37 1.52                                         417.93462                                         0.68058                                           0.34645                                           -0.07347                                          0.66283                                           -0.00926                                          0.11446                                           0.67165                                           0.23640                                           0.06421                                           0.07106                                           -0.06136                                          0.66075                                           0.46931                                           -0.82596                                          1.35577                                           0.10451                                           0.87090                                           2.43737                                           0.56738                                           0.67897                                           0.12878                                           0.61443                                           0.90896                                           1.81704                                           2.64504                                           0.81429                                           4.89381                                           
1.52 1.74                                         407.68721                                         0.55988                                           0.29611                                           -0.15833                                          0.68010                                           -0.09802                                          0.11137                                           0.56914                                           0.19043                                           0.06237                                           -0.07296                                          -0.00474                                          0.63610                                           0.40441                                           -0.69690                                          1.57622                                           0.20701                                           0.89745                                           2.25345                                           0.16708                                           0.61391                                           0.13792                                           0.59979                                           0.43161                                           1.90675                                           3.17335                                           0.70102                                           5.05949                                           
1.74 1.95                                         395.12382                                         0.55819                                           0.29876                                           -0.24481                                          0.70191                                           -0.32366                                          0.10710                                           0.56789                                           0.22354                                           0.06066                                           0.01686                                           0.02704                                           0.61141                                           0.36472                                           -0.63435                                          1.74210                                           0.08392                                           1.05143                                           1.96186                                           -0.37129                                          0.58609                                           0.16384                                           0.59843                                           0.80312                                           1.92883                                           3.21372                                           0.69678                                           5.10745                                           
1.95 2.18                                         371.64346                                         0.50270                                           0.30425                                           -0.33101                                          0.71690                                           0.07767                                           0.10048                                           0.59250                                           0.27030                                           0.05709                                           -0.02661                                          0.03256                                           0.55579                                           0.36110                                           -0.59895                                          1.63401                                           0.14835                                           0.82546                                           1.54531                                           -0.96501                                          0.69493                                           0.15429                                           0.48532                                           0.42130                                           1.96791                                           2.39060                                           0.65281                                           4.42556                                           
2.18 2.4                                          347.17760                                         0.51143                                           0.24582                                           0.11150                                           0.72810                                           -0.01870                                          0.09336                                           0.57461                                           0.24666                                           0.05395                                           -0.02006                                          -0.11313                                          0.49488                                           0.33763                                           -0.59376                                          1.59314                                           0.09920                                           0.61508                                           1.07280                                           -1.59007                                          0.96625                                           0.16326                                           0.40745                                           0.32801                                           1.93437                                           1.40972                                           0.65187                                           3.96536                                           
