30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            78.35567                                          0.30637                                           0.26842                                           -0.19313                                          0.10435                                           -0.03154                                          0.00708                                           0.39344                                           0.13358                                           0.01255                                           -0.01184                                          -0.01667                                          0.35064                                           0.45982                                           -0.22700                                          -0.34584                                          0.11182                                           -0.06938                                          0.11800                                           -0.15029                                          0.57339                                           0.03095                                           0.01390                                           -0.13947                                          0.11209                                           0.22613                                           0.11717                                           1.13166                                           
0.21 0.42                                         76.97770                                          0.26271                                           0.17780                                           -0.02545                                          0.10290                                           0.00346                                           0.00696                                           0.29758                                           0.04323                                           0.01233                                           -0.01591                                          0.02118                                           0.29719                                           0.42282                                           -0.23877                                          -0.34933                                          0.08860                                           -0.03561                                          0.24656                                           -0.16866                                          0.39215                                           0.01174                                           0.02749                                           -0.12145                                          0.11431                                           0.15985                                           0.09396                                           0.94633                                           
0.42 0.63                                         76.61310                                          0.26200                                           0.18492                                           -0.12759                                          0.10385                                           -0.03701                                          0.00693                                           0.29315                                           0.04125                                           0.01227                                           -0.02829                                          -0.02207                                          0.41038                                           0.41932                                           -0.26198                                          -0.33510                                          0.09127                                           0.03428                                           0.34968                                           -0.17895                                          0.30158                                           0.02484                                           0.04708                                           -0.14641                                          0.11658                                           0.23529                                           0.09284                                           1.01662                                           
0.63 0.84                                         77.01554                                          0.28446                                           0.22301                                           -0.04045                                          0.10662                                           -0.08791                                          0.00699                                           0.37087                                           0.04474                                           0.01233                                           -0.02786                                          -0.02816                                          0.42844                                           0.42054                                           -0.25893                                          -0.35183                                          0.08769                                           0.10975                                           0.43052                                           -0.18116                                          0.28967                                           0.03350                                           0.01949                                           -0.14623                                          0.12069                                           0.35376                                           0.11009                                           1.12230                                           
0.84 1.05                                         73.73621                                          0.28508                                           0.23269                                           0.09418                                           0.10904                                           0.00105                                           0.00668                                           0.35257                                           0.06658                                           0.01181                                           0.03085                                           -0.02117                                          0.41527                                           0.41257                                           -0.28035                                          -0.36169                                          0.11136                                           0.09985                                           0.46306                                           -0.16520                                          0.29517                                           0.03596                                           0.01662                                           -0.01808                                          0.12203                                           0.17238                                           0.11082                                           1.08042                                           
1.05 1.37                                         73.95458                                          0.20890                                           0.14226                                           0.04607                                           0.11096                                           -0.06723                                          0.00671                                           0.18762                                           0.07550                                           0.01184                                           0.05740                                           0.08114                                           0.47145                                           0.32228                                           -0.26809                                          -0.34294                                          0.05532                                           0.06391                                           0.49340                                           -0.14173                                          0.30871                                           0.01762                                           0.02223                                           -0.16439                                          0.12033                                           0.15784                                           0.07328                                           1.02192                                           
1.37 1.52                                         69.31351                                          0.27094                                           0.15313                                           0.03488                                           0.10841                                           -0.00059                                          0.00633                                           0.18847                                           0.03930                                           0.01110                                           -0.01914                                          -0.01272                                          0.47378                                           0.32415                                           -0.27181                                          -0.34868                                          0.09300                                           0.10769                                           0.45552                                           -0.10108                                          0.27645                                           0.01202                                           0.07455                                           -0.13323                                          0.13613                                           0.23301                                           0.10399                                           1.01027                                           
1.52 1.74                                         68.86722                                          0.21618                                           0.11168                                           -0.01210                                          0.11408                                           -0.01550                                          0.00635                                           0.16230                                           0.03214                                           0.01103                                           -0.04765                                          -0.03539                                          0.38681                                           0.26639                                           -0.27415                                          -0.33390                                          0.11119                                           0.03314                                           0.42682                                           -0.06780                                          0.25675                                           0.01164                                           0.12125                                           -0.20743                                          0.16539                                           0.06696                                           0.08529                                           0.90956                                           
1.74 1.95                                         67.83297                                          0.22547                                           0.11901                                           -0.03579                                          0.12174                                           -0.05416                                          0.00635                                           0.16811                                           0.03846                                           0.01086                                           -0.02406                                          -0.01810                                          0.38263                                           0.24407                                           -0.22670                                          -0.29124                                          0.06571                                           0.06388                                           0.36870                                           -0.02096                                          0.25351                                           0.02121                                           0.14137                                           -0.10820                                          0.21909                                           0.23681                                           0.07848                                           0.87041                                           
1.95 2.18                                         62.80918                                          0.21726                                           0.12203                                           -0.05428                                          0.12544                                           0.01334                                           0.00604                                           0.18228                                           0.04590                                           0.01006                                           -0.01107                                          0.05905                                           0.35795                                           0.20837                                           -0.22605                                          -0.30092                                          0.08017                                           0.13530                                           0.26953                                           0.03274                                           0.29882                                           0.01960                                           0.21446                                           -0.17148                                          0.29216                                           0.18144                                           0.08532                                           0.88041                                           
2.18 2.4                                          57.30462                                          0.20858                                           0.11653                                           0.00362                                           0.12755                                           -0.00291                                          0.00571                                           0.17214                                           0.04069                                           0.00918                                           0.03035                                           0.02206                                           0.35926                                           0.23959                                           -0.23907                                          -0.24139                                          0.06763                                           0.02679                                           0.15702                                           0.08688                                           0.40385                                           0.01982                                           0.26595                                           -0.11564                                          0.34021                                           0.35586                                           0.08309                                           0.94813                                           
