30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            581.29234                                         0.81933                                           0.71638                                           -1.31196                                          0.77543                                           0.27866                                           0.14763                                           1.42237                                           0.98487                                           0.09520                                           -0.02513                                          -0.02371                                          0.67476                                           -0.77296                                          -1.01080                                          -0.66831                                          0.70827                                           0.58553                                           1.66796                                           0.05550                                           1.82024                                           0.14320                                           1.16759                                           0.14479                                           1.28010                                           1.46883                                           0.67221                                           4.58861                                           
0.21 0.42                                         583.60597                                         0.73015                                           0.53212                                           -1.03098                                          0.78008                                           0.55304                                           0.14844                                           1.18810                                           0.33908                                           0.09601                                           0.00462                                           -0.00910                                          0.66739                                           -0.82347                                          -1.09326                                          -0.86461                                          0.52133                                           0.79241                                           2.01439                                           -0.17942                                          1.30013                                           0.12817                                           1.11282                                           0.01054                                           1.30547                                           2.32550                                           0.61102                                           4.72282                                           
0.42 0.63                                         583.27469                                         0.70545                                           0.47102                                           -1.16004                                          0.78936                                           -0.02968                                          0.14940                                           1.18657                                           0.31349                                           0.09649                                           -0.04601                                          0.03704                                           0.74657                                           -0.73384                                          -1.13662                                          -0.69760                                          0.57603                                           0.65253                                           2.33496                                           -0.40496                                          0.98385                                           0.10925                                           1.16717                                           0.24555                                           1.36793                                           0.98294                                           0.60613                                           4.31141                                           
0.63 0.84                                         587.24280                                         0.76636                                           0.61543                                           -0.32225                                          0.81420                                           0.85108                                           0.15110                                           1.61642                                           0.32319                                           0.09717                                           0.01329                                           0.02664                                           0.76041                                           -0.68030                                          -1.21102                                          -0.54802                                          0.51967                                           0.62639                                           2.65675                                           -0.62546                                          0.88201                                           0.12541                                           1.15315                                           0.02169                                           1.46033                                           1.35734                                           0.64006                                           4.69560                                           
0.84 1.05                                         585.59821                                         0.79034                                           0.63426                                           0.18775                                           0.86748                                           0.78013                                           0.15127                                           1.65690                                           0.52708                                           0.09717                                           0.04237                                           0.01313                                           0.81684                                           -0.70077                                          -1.15425                                          -0.48868                                          0.52167                                           0.76692                                           2.93639                                           -0.83144                                          0.88846                                           0.15541                                           1.21314                                           0.03502                                           1.52999                                           1.67682                                           0.70762                                           5.06944                                           
1.05 1.37                                         601.41475                                         0.57798                                           0.43883                                           0.61563                                           0.90065                                           0.62244                                           0.15544                                           0.92347                                           0.61563                                           0.09931                                           0.03996                                           -0.03820                                          0.97953                                           -0.62940                                          -1.33979                                          -0.50759                                          0.61184                                           0.62131                                           3.36144                                           -1.10934                                          0.92843                                           0.12670                                           1.25875                                           0.09531                                           1.68460                                           1.47888                                           0.46936                                           5.23970                                           
1.37 1.52                                         599.16603                                         0.79151                                           0.44656                                           -0.23542                                          0.92670                                           -1.14924                                          0.15570                                           1.03173                                           0.34197                                           0.09973                                           -0.05892                                          -0.04043                                          0.95527                                           -0.56871                                          -1.15549                                          -0.33938                                          0.43603                                           0.76963                                           3.62986                                           -1.31806                                          0.87268                                           0.13151                                           1.24321                                           -0.08857                                          1.83457                                           1.50451                                           0.64290                                           5.51468                                           
1.52 1.74                                         607.51038                                         0.66614                                           0.39205                                           -0.21837                                          0.98484                                           0.31587                                           0.15675                                           0.90657                                           0.27557                                           0.10097                                           -0.02818                                          -0.05743                                          1.00507                                           -0.61114                                          -1.22359                                          -0.40500                                          0.56082                                           0.69796                                           3.88828                                           -1.49773                                          0.80998                                           0.13166                                           1.28070                                           -0.22628                                          1.93161                                           1.83215                                           0.56053                                           5.76047                                           
1.74 1.95                                         604.47543                                         0.67588                                           0.39932                                           -0.04344                                          1.04457                                           0.69920                                           0.15505                                           0.98337                                           0.35364                                           0.10057                                           0.02290                                           0.05224                                           0.90874                                           -0.52200                                          -0.96157                                          -0.57107                                          0.54313                                           0.68060                                           4.09115                                           -1.66732                                          0.77197                                           0.13566                                           1.25761                                           -0.33512                                          2.02539                                           2.91000                                           0.55000                                           6.37782                                           
1.95 2.18                                         598.72523                                         0.62378                                           0.42402                                           -0.42250                                          1.12035                                           1.62788                                           0.15245                                           0.99187                                           0.44079                                           0.09895                                           -0.06210                                          -0.18835                                          0.83853                                           -0.47983                                          -1.17187                                          -0.58096                                          0.61212                                           0.81760                                           4.25762                                           -1.82049                                          0.95276                                           0.10631                                           1.15062                                           -0.51035                                          2.13150                                           2.91365                                           0.53278                                           6.81636                                           
2.18 2.4                                          571.41845                                         0.64057                                           0.35053                                           -0.04815                                          1.16494                                           1.55962                                           0.14443                                           1.03895                                           0.42949                                           0.09327                                           -0.03315                                          -0.13247                                          0.81303                                           -0.50183                                          -1.05730                                          -0.86889                                          0.44795                                           0.64278                                           4.24402                                           -1.89204                                          1.37322                                           0.10571                                           1.14926                                           -0.68545                                          2.10116                                           2.44845                                           0.53811                                           6.67867                                           
