30
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonRecoSFOpt                                     MuonIsoSF                                         MuonTriggerSFstat                                 MuonRecoSFstat                                    MuonIsoSFstat                                     MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 ONLYUNFTheoryPS_Uncorr_smoothed                   TheoryPDF                                         WPtReweightingSherpa                              PileupScale                                       BkgEWKnotop                                       BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            143.06016                                         0.40857                                           0.35740                                           -0.29075                                          0.18641                                           0.06997                                           0.04908                                           0.75667                                           0.24307                                           0.05462                                           0.03808                                           0.03779                                           -0.10908                                          0.23613                                           -0.12004                                          -0.22616                                          0.08831                                           -0.07545                                          -0.64497                                          -0.15028                                          0.72509                                           0.06766                                           0.50353                                           -0.19467                                          0.24101                                           0.41263                                           0.28461                                           1.61499                                           
0.21 0.42                                         143.29268                                         0.35448                                           0.24813                                           -0.31311                                          0.18712                                           0.13541                                           0.04922                                           0.64124                                           0.08339                                           0.05471                                           0.02083                                           -0.03010                                          -0.12254                                          0.23749                                           -0.14945                                          -0.22185                                          0.15166                                           0.10963                                           -0.44404                                          -0.52234                                          0.51003                                           0.04998                                           0.57590                                           -0.03138                                          0.25397                                           0.56020                                           0.25104                                           1.52396                                           
0.42 0.63                                         144.45818                                         0.34675                                           0.24561                                           -0.32448                                          0.19093                                           -0.00655                                          0.04976                                           0.67978                                           0.07775                                           0.05515                                           -0.07853                                          0.02691                                           -0.15874                                          0.23312                                           -0.07778                                          -0.25713                                          0.06304                                           -0.23697                                          -0.26613                                          -0.81852                                          0.39372                                           0.05826                                           0.55405                                           0.09598                                           0.27942                                           0.39743                                           0.24755                                           1.55152                                           
0.63 0.84                                         146.46130                                         0.38394                                           0.31812                                           -0.02710                                          0.19833                                           0.21182                                           0.05070                                           0.89523                                           0.08044                                           0.05592                                           -0.02426                                          -0.00875                                          -0.13214                                          0.21662                                           -0.15745                                          -0.16059                                          0.11951                                           0.13853                                           -0.10821                                          -1.04181                                          0.37098                                           0.05494                                           0.58378                                           -0.21718                                          0.31799                                           0.28928                                           0.26018                                           1.73984                                           
0.84 1.05                                         147.02493                                         0.39347                                           0.31506                                           0.07479                                           0.21239                                           0.19335                                           0.05113                                           1.01917                                           0.13345                                           0.05613                                           -0.01279                                          -0.01446                                          -0.09714                                          0.15453                                           -0.13575                                          -0.16896                                          0.16221                                           0.13900                                           0.03111                                           -1.17420                                          0.38928                                           0.03753                                           0.61523                                           -0.05989                                          0.35014                                           0.55962                                           0.26924                                           1.94909                                           
1.05 1.37                                         150.65399                                         0.29219                                           0.20948                                           0.17812                                           0.22086                                           0.15558                                           0.05298                                           0.57333                                           0.15443                                           0.05752                                           -0.07063                                          0.05483                                           -0.16236                                          0.13992                                           -0.18961                                          -0.21120                                          0.13482                                           -0.08624                                          0.17964                                           -1.24580                                          0.41308                                           0.02807                                           0.55212                                           0.02828                                           0.44289                                           0.23156                                           0.19425                                           1.73673                                           
1.37 1.52                                         151.01513                                         0.39686                                           0.20980                                           -0.07096                                          0.22839                                           -0.28220                                          0.05354                                           0.60868                                           0.08630                                           0.05766                                           -0.03818                                          -0.05685                                          -0.15594                                          0.16597                                           -0.08777                                          -0.16991                                          0.17275                                           0.03329                                           0.28063                                           -1.17122                                          0.39419                                           0.04713                                           0.53987                                           -0.11031                                          0.51059                                           0.44741                                           0.27383                                           1.77106                                           
1.52 1.74                                         153.34605                                         0.32911                                           0.20869                                           -0.04931                                          0.24182                                           0.08181                                           0.05440                                           0.52108                                           0.06946                                           0.05855                                           -0.09925                                          -0.05106                                          -0.16779                                          0.18167                                           -0.12589                                          -0.13086                                          0.17127                                           -0.02129                                          0.34467                                           -1.04977                                          0.37089                                           0.06254                                           0.61254                                           -0.09406                                          0.52025                                           0.48790                                           0.22370                                           1.68385                                           
1.74 1.95                                         155.57044                                         0.35247                                           0.19153                                           0.00547                                           0.25849                                           0.18152                                           0.05502                                           0.60547                                           0.09111                                           0.05940                                           0.01436                                           -0.02294                                          -0.18568                                          0.16881                                           -0.10125                                          -0.19255                                          0.12868                                           -0.07670                                          0.39685                                           -0.81344                                          0.36870                                           0.03912                                           0.61304                                           -0.18878                                          0.50827                                           1.10931                                           0.21214                                           1.88505                                           
1.95 2.18                                         153.03162                                         0.32650                                           0.19116                                           -0.11615                                          0.27258                                           0.41028                                           0.05525                                           0.60051                                           0.11266                                           0.05843                                           -0.03138                                          0.08160                                           -0.23118                                          0.17282                                           -0.11802                                          -0.17301                                          0.19068                                           0.13680                                           0.41245                                           -0.45168                                          0.45473                                           0.04168                                           0.66629                                           -0.04375                                          0.49101                                           1.09267                                           0.21909                                           1.83680                                           
2.18 2.4                                          147.35171                                         0.33102                                           0.20241                                           0.00437                                           0.28020                                           0.39980                                           0.05331                                           0.63839                                           0.11086                                           0.05626                                           0.06454                                           0.12552                                           -0.21264                                          0.22323                                           -0.13477                                          -0.25439                                          0.11517                                           -0.03483                                          0.39327                                           0.00426                                           0.65201                                           0.04817                                           0.63755                                           -0.23033                                          0.43027                                           1.16792                                           0.21352                                           1.88518                                           
